phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta
Cardio,phecode_416-211,Paroxysmal atrial fibrillation*,"0.683 (0.674, 0.694)","0.681 (0.672, 0.692)","-0.001 (-0.007, 0.005)"
Signs/Symptoms,phecode_832,Other abnormal findings in urine,"0.631 (0.627, 0.636)","0.63 (0.625, 0.634)","-0.001 (-0.003, 0)"
Cardio,phecode_416-5,Premature depolarization [Premature beats],"0.608 (0.593, 0.622)","0.606 (0.592, 0.621)","-0.001 (-0.007, 0.004)"
Eye,phecode_363-2,Dry eye syndrome [Tear film insufficiency],"0.63 (0.624, 0.638)","0.629 (0.623, 0.636)","-0.001 (-0.005, 0.003)"
Blood,phecode_168,"Coagulation defects, purpura and other hemorrhagic conditions","0.594 (0.581, 0.608)","0.592 (0.578, 0.609)","-0.001 (-0.011, 0.01)"
Cardio,phecode_438,Aneurysm or ectasia,"0.718 (0.703, 0.73)","0.716 (0.702, 0.73)","-0.001 (-0.006, 0.005)"
Musc/Skel,phecode_709,Acquired deformities of fingers and toes,"0.635 (0.628, 0.644)","0.634 (0.626, 0.643)","-0.001 (-0.003, 0.001)"
Signs/Symptoms,phecode_800-1,Chest pain on breathing,"0.54 (0.53, 0.554)","0.541 (0.525, 0.554)","-0.001 (-0.014, 0.01)"
Musc/Skel,phecode_709-21,Hallux valgus (Bunion),"0.667 (0.658, 0.676)","0.665 (0.657, 0.675)","-0.001 (-0.003, 0)"
ID,phecode_052-1,Herpes simplex,"0.596 (0.584, 0.61)","0.595 (0.579, 0.609)","-0.001 (-0.008, 0.005)"
Musc/Skel,phecode_721,Synoviopathy and bursopathy,"0.534 (0.529, 0.539)","0.533 (0.528, 0.537)","-0.001 (-0.004, 0.001)"
Genitourinary,phecode_626,Disorders of menstruation and other abnormal bleeding from female genital tract,"0.794 (0.786, 0.801)","0.792 (0.784, 0.799)","-0.001 (-0.002, 0)"
GI,phecode_532,Other disorders of the intestines,"0.553 (0.539, 0.567)","0.55 (0.534, 0.566)","-0.001 (-0.015, 0.01)"
Cardio,phecode_440-3,Pulmonary embolism,"0.63 (0.617, 0.643)","0.628 (0.614, 0.644)","-0.001 (-0.013, 0.012)"
Resp,phecode_471-2,Deviated nasal septum,"0.575 (0.556, 0.598)","0.575 (0.55, 0.593)","-0.001 (-0.012, 0.01)"
Cardio,phecode_404-11,Acute myocardial infarction,"0.699 (0.688, 0.709)","0.697 (0.686, 0.709)","-0.001 (-0.008, 0.006)"
Signs/Symptoms,phecode_800-11,Pleurodynia*,"0.545 (0.532, 0.557)","0.543 (0.53, 0.556)","-0.001 (-0.011, 0.01)"
Resp,phecode_495-1,Solitary pulmonary nodule,"0.623 (0.599, 0.649)","0.621 (0.594, 0.645)","-0.001 (-0.026, 0.025)"
Cardio,phecode_440,Embolism and thrombosis,"0.596 (0.59, 0.604)","0.596 (0.587, 0.604)","-0.001 (-0.006, 0.005)"
Neoplasms,phecode_103-22,Squamous cell carcinoma of the skin,"0.718 (0.698, 0.738)","0.717 (0.698, 0.737)","-0.001 (-0.009, 0.007)"
Cardio,phecode_413-3,Tricuspid valve disorders,"0.728 (0.713, 0.745)","0.727 (0.712, 0.742)","-0.001 (-0.009, 0.01)"
GI,phecode_530,Disease of anus and rectum,"0.523 (0.514, 0.535)","0.522 (0.512, 0.534)","-0.001 (-0.011, 0.008)"
Neoplasms,phecode_132,Sequelae of cancer,"0.735 (0.724, 0.748)","0.734 (0.722, 0.746)","-0.001 (-0.007, 0.003)"
Genitourinary,phecode_626-14,Irregular menstrual bleeding,"0.871 (0.863, 0.879)","0.871 (0.861, 0.878)","-0.001 (-0.003, 0.001)"
Genitourinary,phecode_599,Other symptoms/disorders or the urinary system,"0.575 (0.569, 0.579)","0.574 (0.568, 0.579)","-0.001 (-0.002, 0.001)"
Endo,phecode_200-3,Thyrotoxicosis [hyperthyroidism],"0.606 (0.585, 0.623)","0.606 (0.583, 0.622)","-0.001 (-0.01, 0.01)"
Neuro,phecode_329-1,Memory loss,"0.65 (0.643, 0.659)","0.649 (0.641, 0.658)","-0.001 (-0.005, 0.002)"
GI,phecode_529-1,Diarrhea,"0.542 (0.534, 0.548)","0.541 (0.535, 0.548)","-0.001 (-0.007, 0.003)"
Cardio,phecode_406-1,Pulmonary hypertension,"0.743 (0.719, 0.767)","0.742 (0.718, 0.765)","-0.001 (-0.015, 0.017)"
Genitourinary,phecode_619,Noninflammatory female genital disorders,"0.577 (0.569, 0.584)","0.576 (0.569, 0.583)","-0.001 (-0.003, 0.001)"
Genitourinary,phecode_603-5,Orchitis and epididymitis,"0.481 (0.464, 0.501)","0.479 (0.463, 0.497)","-0.001 (-0.014, 0.012)"
Cardio,phecode_430-2,Nontraumatic intracerebral hemorrhage,"0.7 (0.67, 0.72)","0.696 (0.671, 0.724)","-0.001 (-0.022, 0.018)"
Cardio,phecode_419,Presence of cardiac device,"0.738 (0.72, 0.753)","0.738 (0.724, 0.751)","-0.001 (-0.008, 0.008)"
Resp,phecode_466-1,Acute tonsillitis and adenoiditis,"0.661 (0.65, 0.671)","0.66 (0.649, 0.67)","-0.001 (-0.002, 0.001)"
GI,phecode_510-2,Esophagitis,"0.57 (0.564, 0.577)","0.569 (0.563, 0.576)","-0.001 (-0.006, 0.005)"
Genitourinary,phecode_594-2,Dysuria,"0.61 (0.602, 0.62)","0.61 (0.602, 0.619)","-0.001 (-0.004, 0.002)"
Genitourinary,phecode_596,Other disorders of bladder,"0.607 (0.597, 0.617)","0.606 (0.599, 0.616)","-0.001 (-0.004, 0.003)"
Rx,phecode_977-5,Long term (current) use of agents affecting hormones,"0.895 (0.89, 0.902)","0.895 (0.889, 0.901)","-0.001 (-0.002, 0)"
Genitourinary,phecode_594-11,Urinary hesitancy,"0.751 (0.727, 0.781)","0.751 (0.728, 0.776)","-0.001 (-0.012, 0.01)"
Musc/Skel,phecode_723-4,Lateral epicondylitis (Tennis elbow),"0.637 (0.629, 0.643)","0.636 (0.628, 0.643)","-0.001 (-0.002, 0.001)"
Genitourinary,phecode_583,Chronic kidney disease,"0.68 (0.672, 0.688)","0.679 (0.673, 0.687)","-0.001 (-0.004, 0.003)"
Neoplasms,phecode_142,Lump or mass in breast or nonspecific abnormal breast exam,"0.76 (0.755, 0.765)","0.759 (0.754, 0.764)","-0.001 (-0.002, 0)"
Cardio,phecode_433-2,Occlusion and stenosis of precerebral arteries,"0.736 (0.714, 0.752)","0.734 (0.711, 0.755)","-0.001 (-0.019, 0.013)"
GI,phecode_520,Hernia,"0.623 (0.618, 0.628)","0.622 (0.617, 0.627)","-0.001 (-0.002, 0.001)"
Endo,phecode_209,Disorders of the pituitary gland and its hypothalamic control,"0.604 (0.574, 0.635)","0.604 (0.577, 0.642)","-0.001 (-0.026, 0.025)"
GI,phecode_510,Diseases of esophagus,"0.569 (0.564, 0.575)","0.568 (0.562, 0.575)","-0.001 (-0.005, 0.004)"
Musc/Skel,phecode_708-7,Generalized osteoarthritis,"0.64 (0.63, 0.647)","0.639 (0.63, 0.645)","-0.001 (-0.006, 0.004)"
Neoplasms,phecode_144-21,Leiomyoma of uterus,"0.709 (0.699, 0.72)","0.709 (0.699, 0.721)","0 (-0.003, 0.003)"
Blood,phecode_169,Platelet defects,"0.667 (0.65, 0.678)","0.667 (0.649, 0.679)","0 (-0.012, 0.01)"
Resp,phecode_466,Tonsillitis and adenoiditis,"0.646 (0.635, 0.657)","0.646 (0.634, 0.657)","0 (-0.002, 0.001)"
Musc/Skel,phecode_705,Rheumatoid arthritis and other inflammatory polyarthropathies,"0.614 (0.606, 0.625)","0.614 (0.603, 0.623)","0 (-0.005, 0.005)"
Musc/Skel,phecode_708-9,Heberden's or Bouchard's nodes*,"0.624 (0.603, 0.643)","0.623 (0.602, 0.641)","0 (-0.008, 0.009)"
Genitourinary,phecode_626-1,Irregular menstrual cycle/bleeding,"0.877 (0.872, 0.885)","0.877 (0.87, 0.884)","0 (-0.001, 0.001)"
Rx,phecode_977-51,Long term (current) use of hormonal contraceptives,"0.924 (0.917, 0.933)","0.924 (0.916, 0.932)","0 (-0.001, 0.001)"
Neoplasms,phecode_148-2,Benign neoplasm of meninges (Meningioma),"0.657 (0.621, 0.69)","0.657 (0.621, 0.69)","0 (-0.028, 0.029)"
Neoplasms,phecode_144,Gynecological benign neoplasms,"0.648 (0.638, 0.659)","0.648 (0.639, 0.658)","0 (-0.003, 0.003)"
Neoplasms,phecode_144-2,Benign neoplasms of the uterus,"0.66 (0.649, 0.67)","0.659 (0.649, 0.67)","0 (-0.004, 0.003)"
Signs/Symptoms,phecode_807-1,Chronic fatigue syndrome,"0.591 (0.584, 0.6)","0.59 (0.583, 0.6)","0 (-0.004, 0.002)"
GI,phecode_520-2,Diaphragmatic hernia [Hiatal hernia],"0.601 (0.594, 0.608)","0.6 (0.594, 0.607)","0 (-0.003, 0.003)"
Hearing,phecode_397-1,Tinnitus,"0.5 (0.491, 0.509)","0.5 (0.492, 0.51)","0 (-0.01, 0.011)"
Neoplasms,phecode_130,"Cancer (solid tumor, excluding BCC)","0.644 (0.638, 0.649)","0.644 (0.638, 0.649)","0 (-0.002, 0.001)"
GI,phecode_529,Symptoms involving digestive system,"0.561 (0.557, 0.565)","0.561 (0.557, 0.565)","0 (-0.003, 0.002)"
Cardio,phecode_438-1,Aortic aneurysm and ectasia,"0.783 (0.77, 0.795)","0.783 (0.769, 0.795)","0 (-0.007, 0.006)"
Genitourinary,phecode_627-4,Menorrhagia/Excessive and frequent menstruation,"0.879 (0.874, 0.884)","0.879 (0.873, 0.884)","0 (-0.001, 0.001)"
Resp,phecode_479-6,Pulmonary collapse [Atelectasis],"0.647 (0.633, 0.66)","0.647 (0.633, 0.663)","0 (-0.01, 0.011)"
Signs/Symptoms,phecode_802,Throat pain,"0.538 (0.526, 0.547)","0.537 (0.526, 0.549)","0 (-0.007, 0.008)"
Neuro,phecode_331-6,Migraine,"0.641 (0.631, 0.653)","0.641 (0.631, 0.653)","0 (-0.001, 0.001)"
Neoplasms,phecode_116-4,Secondary malignant neoplasm of liver,"0.659 (0.648, 0.678)","0.66 (0.643, 0.674)","0 (-0.013, 0.007)"
Genitourinary,phecode_585-1,Renal colic,"0.61 (0.592, 0.63)","0.61 (0.588, 0.631)","0 (-0.011, 0.012)"
Neuro,phecode_329-4,Other specified cognitive deficit,"0.51 (0.492, 0.533)","0.51 (0.489, 0.533)","0 (-0.02, 0.025)"
GI,phecode_520-11,Inguinal hernia,"0.788 (0.781, 0.795)","0.788 (0.781, 0.794)","0 (-0.001, 0)"
Hearing,phecode_390-4,Impacted cerumen,"0.584 (0.579, 0.589)","0.584 (0.579, 0.589)","0 (-0.001, 0.001)"
GI,phecode_520-1,Hernia of the abdominal wall,"0.714 (0.71, 0.722)","0.714 (0.71, 0.722)","0 (-0.001, 0.001)"
Endo,phecode_200-1,Hypothyroidism,"0.636 (0.628, 0.644)","0.636 (0.628, 0.643)","0 (-0.003, 0.003)"
Hearing,phecode_396,Hearing impairment,"0.637 (0.631, 0.643)","0.638 (0.631, 0.643)","0 (-0.001, 0.001)"
Derm,phecode_682-4,Acne,"0.631 (0.61, 0.659)","0.63 (0.609, 0.662)","0 (-0.009, 0.01)"
Blood,phecode_162,Aplastic anemia,"0.662 (0.623, 0.694)","0.659 (0.629, 0.698)","0 (-0.021, 0.034)"
Neuro,phecode_334,Disorders of other cranial nerves,"0.543 (0.528, 0.557)","0.541 (0.527, 0.556)","0 (-0.015, 0.012)"
Genitourinary,phecode_593-3,Recurrent and persistent hematuria*,"0.528 (0.49, 0.561)","0.527 (0.495, 0.561)","0 (-0.038, 0.037)"
Genitourinary,phecode_626-13,Irregular menstrual cycle,"0.89 (0.883, 0.896)","0.89 (0.883, 0.897)","0 (-0.002, 0.002)"
Genitourinary,phecode_627-2,Symptomatic menopause,"0.766 (0.76, 0.773)","0.767 (0.76, 0.773)","0 (-0.001, 0.001)"
Hearing,phecode_395,Other diseases of inner ear,"0.561 (0.55, 0.572)","0.561 (0.549, 0.571)","0 (-0.004, 0.003)"
Genitourinary,phecode_619-4,Noninflammatory disorders of vagina,"0.595 (0.586, 0.601)","0.595 (0.586, 0.602)","0 (-0.002, 0.002)"
Metab,phecode_230-22,Underweight,"0.592 (0.544, 0.629)","0.593 (0.554, 0.625)","0 (-0.033, 0.03)"
Cardio,phecode_413-21,Aortic stenosis,"0.748 (0.735, 0.761)","0.749 (0.734, 0.762)","0 (-0.007, 0.006)"
Endo,phecode_200,Disorders of thyroid gland,"0.633 (0.626, 0.64)","0.632 (0.625, 0.641)","0 (-0.002, 0.003)"
Cardio,phecode_443,Other specified disorders of arteries and arterioles,"0.667 (0.649, 0.676)","0.666 (0.649, 0.679)","0 (-0.009, 0.011)"
Genitourinary,phecode_625-1,Dyspareunia,"0.641 (0.623, 0.655)","0.641 (0.622, 0.657)","0 (-0.007, 0.009)"
Genitourinary,phecode_592-11,Acute cystitis,"0.706 (0.686, 0.727)","0.706 (0.686, 0.726)","0 (-0.008, 0.008)"
Hearing,phecode_395-1,Labyrinthitis,"0.563 (0.553, 0.575)","0.563 (0.552, 0.576)","0 (-0.004, 0.005)"
Signs/Symptoms,phecode_835,Cytology and pathology findings,"0.718 (0.71, 0.725)","0.719 (0.711, 0.726)","0 (-0.001, 0.002)"
Neuro,phecode_329,Symptoms and signs involving cognitive functions and awareness,"0.645 (0.639, 0.651)","0.646 (0.64, 0.651)","0 (-0.003, 0.004)"
Eye,phecode_377,Hemorrhage of the eye,"0.585 (0.573, 0.598)","0.585 (0.576, 0.595)","0 (-0.007, 0.007)"
Genitourinary,phecode_586,Other disorders of the kidney and ureters,"0.641 (0.629, 0.656)","0.642 (0.631, 0.655)","0 (-0.009, 0.008)"
Genitourinary,phecode_603-6,Scrotal pain*,"0.803 (0.795, 0.812)","0.804 (0.795, 0.812)","0.001 (-0.005, 0.006)"
Endo,phecode_200-14,"Hypothyroidism, not specified as secondary","0.639 (0.631, 0.647)","0.638 (0.632, 0.647)","0.001 (-0.002, 0.003)"
ID,phecode_015-2,Clostridium difficile,"0.643 (0.619, 0.676)","0.643 (0.616, 0.674)","0.001 (-0.03, 0.033)"
Cardio,phecode_416,Cardiac arrhythmia and conduction disorders,"0.698 (0.692, 0.703)","0.698 (0.693, 0.703)","0.001 (-0.002, 0.002)"
Eye,phecode_363,Disorders of lacrimal system,"0.629 (0.622, 0.636)","0.63 (0.623, 0.636)","0.001 (-0.002, 0.004)"
Genitourinary,phecode_627,Menopausal and postmenopausal disorders,"0.686 (0.679, 0.691)","0.687 (0.679, 0.693)","0.001 (0, 0.002)"
Neuro,phecode_356,Speech disturbance,"0.636 (0.619, 0.655)","0.636 (0.62, 0.651)","0.001 (-0.011, 0.013)"
Neuro,phecode_324-8,Restless legs syndrome,"0.59 (0.572, 0.61)","0.591 (0.57, 0.608)","0.001 (-0.016, 0.017)"
Neoplasms,phecode_139-5,Lipoma,"0.517 (0.508, 0.53)","0.518 (0.504, 0.532)","0.001 (-0.012, 0.012)"
Musc/Skel,phecode_726,Osteoporosis and low bone density,"0.741 (0.736, 0.748)","0.742 (0.736, 0.749)","0.001 (-0.001, 0.003)"
Genitourinary,phecode_581-1,Pyelonephritis,"0.555 (0.53, 0.574)","0.556 (0.533, 0.578)","0.001 (-0.018, 0.022)"
Eye,phecode_360-2,Chalazion,"0.524 (0.509, 0.538)","0.524 (0.507, 0.539)","0.001 (-0.01, 0.011)"
Cardio,phecode_447,Nonspecific low blood-pressure reading,"0.627 (0.605, 0.646)","0.626 (0.607, 0.648)","0.001 (-0.016, 0.013)"
Cardio,phecode_440-13,Phlebitis and thrombophlebitis,"0.581 (0.571, 0.591)","0.582 (0.573, 0.595)","0.001 (-0.007, 0.009)"
Genitourinary,phecode_613-7,Other signs and symptoms in breast,"0.461 (0.442, 0.48)","0.462 (0.441, 0.479)","0.001 (-0.023, 0.023)"
Signs/Symptoms,phecode_848-2,Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echo),"0.695 (0.685, 0.706)","0.696 (0.685, 0.707)","0.001 (-0.006, 0.007)"
GI,phecode_522-8,Duodenitis,"0.597 (0.583, 0.609)","0.598 (0.585, 0.609)","0.001 (-0.005, 0.009)"
GI,phecode_523-4,Diverticulitis,"0.61 (0.595, 0.626)","0.609 (0.597, 0.628)","0.001 (-0.009, 0.007)"
Cardio,phecode_416-212,Persistent atrial fibrillation*,"0.709 (0.678, 0.733)","0.707 (0.684, 0.739)","0.001 (-0.016, 0.019)"
Blood,phecode_169-1,Thrombocytopenia,"0.665 (0.65, 0.682)","0.667 (0.653, 0.683)","0.001 (-0.009, 0.012)"
Genitourinary,phecode_594-32,Stress incontinence,"0.712 (0.703, 0.724)","0.713 (0.705, 0.721)","0.001 (-0.007, 0.009)"
Cardio,phecode_436,Atherosclerosis [ASCVD],"0.704 (0.697, 0.711)","0.705 (0.698, 0.712)","0.001 (-0.002, 0.005)"
Musc/Skel,phecode_709-24,Hammer toe,"0.684 (0.663, 0.702)","0.685 (0.666, 0.705)","0.001 (-0.006, 0.009)"
Neuro,phecode_336-5,Mononeuritis of lower limb,"0.564 (0.551, 0.58)","0.565 (0.552, 0.577)","0.001 (-0.008, 0.009)"
Hearing,phecode_390,Disorders of external ear,"0.557 (0.554, 0.561)","0.558 (0.555, 0.562)","0.001 (0, 0.002)"
Derm,phecode_668-3,Contact dermatitis,"0.536 (0.525, 0.549)","0.538 (0.527, 0.55)","0.001 (-0.007, 0.013)"
Musc/Skel,phecode_708-13,Primary osteoarthritis of the hand,"0.643 (0.632, 0.654)","0.644 (0.634, 0.655)","0.001 (-0.004, 0.007)"
Signs/Symptoms,phecode_829,Nonspecific findings on examination of blood,"0.649 (0.643, 0.653)","0.65 (0.645, 0.654)","0.001 (-0.001, 0.004)"
Derm,phecode_679-22,Flushing,"0.55 (0.511, 0.576)","0.551 (0.512, 0.578)","0.001 (-0.017, 0.024)"
GI,phecode_507-1,Stomatitis,"0.557 (0.546, 0.571)","0.559 (0.544, 0.57)","0.001 (-0.01, 0.013)"
GI,phecode_508,Diseases of lips,"0.585 (0.568, 0.603)","0.586 (0.569, 0.601)","0.001 (-0.012, 0.014)"
Cardio,phecode_416-21,Atrial fibrillation,"0.731 (0.726, 0.738)","0.732 (0.727, 0.74)","0.001 (-0.002, 0.004)"
Musc/Skel,phecode_726-1,Osteoporosis,"0.746 (0.74, 0.754)","0.747 (0.741, 0.754)","0.001 (-0.001, 0.004)"
Neoplasms,phecode_101-6,Malignant neoplasm of the liver and intrahepatic bile ducts,"0.721 (0.691, 0.75)","0.723 (0.691, 0.757)","0.001 (-0.027, 0.026)"
Resp,phecode_469-1,Acute bronchitis,"0.568 (0.542, 0.593)","0.568 (0.544, 0.587)","0.001 (-0.022, 0.022)"
Neoplasms,phecode_112,Malignant neoplasm of other and ill-defined sites,"0.661 (0.656, 0.668)","0.662 (0.656, 0.67)","0.001 (-0.001, 0.003)"
Hearing,phecode_398,Other disorders of ear,"0.573 (0.561, 0.585)","0.574 (0.563, 0.591)","0.001 (-0.008, 0.01)"
Cardio,phecode_438-11,Abdominal aortic aneurysm,"0.815 (0.804, 0.829)","0.817 (0.807, 0.827)","0.001 (-0.006, 0.007)"
Hearing,phecode_397,Other hearing abnormality,"0.498 (0.489, 0.507)","0.499 (0.489, 0.509)","0.001 (-0.01, 0.011)"
Neoplasms,phecode_101-2,Malignant neoplasm of stomach,"0.678 (0.636, 0.715)","0.677 (0.644, 0.704)","0.001 (-0.024, 0.019)"
Neoplasms,phecode_116-6,Secondary malignancy of bone,"0.687 (0.673, 0.704)","0.688 (0.677, 0.706)","0.001 (-0.007, 0.011)"
Neuro,phecode_334-11,Trigeminal neuralgia,"0.584 (0.558, 0.601)","0.585 (0.561, 0.602)","0.001 (-0.012, 0.016)"
Musc/Skel,phecode_727,Other disorders of bone,"0.707 (0.701, 0.713)","0.709 (0.703, 0.714)","0.001 (0, 0.003)"
Cardio,phecode_431,Stroke and transient cerebral ischemic attacks,"0.688 (0.68, 0.696)","0.69 (0.682, 0.697)","0.001 (-0.004, 0.007)"
GI,phecode_528-1,Nausea,"0.577 (0.572, 0.585)","0.58 (0.573, 0.586)","0.002 (-0.002, 0.006)"
Eye,phecode_367-1,Conjunctivitis,"0.569 (0.562, 0.576)","0.57 (0.564, 0.576)","0.002 (-0.002, 0.005)"
Musc/Skel,phecode_708,Osteoarthritis,"0.608 (0.604, 0.611)","0.609 (0.605, 0.612)","0.002 (0, 0.003)"
Cardio,phecode_404-2,Coronary atherosclerosis [Atherosclerotic heart disease],"0.702 (0.695, 0.709)","0.703 (0.696, 0.71)","0.002 (-0.002, 0.005)"
Cardio,phecode_416-2,Atrial fibrillation and flutter,"0.732 (0.726, 0.737)","0.734 (0.727, 0.738)","0.002 (0, 0.005)"
Neuro,phecode_331,Headache,"0.577 (0.571, 0.583)","0.579 (0.573, 0.585)","0.002 (-0.001, 0.004)"
Cardio,phecode_448-1,Raynaud's syndrome,"0.583 (0.567, 0.596)","0.584 (0.568, 0.597)","0.002 (-0.009, 0.012)"
GI,phecode_528-2,Vomiting,"0.577 (0.571, 0.585)","0.579 (0.574, 0.585)","0.002 (-0.004, 0.006)"
Eye,phecode_366-4,Vascular abnormalities of conjunctiva,"0.526 (0.507, 0.551)","0.529 (0.505, 0.556)","0.002 (-0.018, 0.023)"
Hearing,phecode_392,Otalgia and effusion of ear,"0.555 (0.547, 0.562)","0.557 (0.549, 0.564)","0.002 (-0.003, 0.007)"
Eye,phecode_379,Infection of the eye,"0.538 (0.516, 0.558)","0.537 (0.516, 0.557)","0.002 (-0.017, 0.018)"
Mental,phecode_288,Anxiety disorders,"0.588 (0.581, 0.594)","0.59 (0.582, 0.595)","0.002 (-0.001, 0.005)"
GI,phecode_514,Gastrointestinal obstruction,"0.626 (0.614, 0.638)","0.627 (0.616, 0.641)","0.002 (-0.006, 0.011)"
Eye,phecode_379-2,"Eye infection, viral","0.538 (0.504, 0.554)","0.537 (0.506, 0.563)","0.002 (-0.014, 0.02)"
Cardio,phecode_430,Nontraumatic Intracranial hemorrhage,"0.651 (0.632, 0.67)","0.65 (0.636, 0.673)","0.002 (-0.014, 0.013)"
Musc/Skel,phecode_715-1,Spondylosis,"0.615 (0.608, 0.625)","0.618 (0.61, 0.628)","0.002 (-0.002, 0.006)"
Musc/Skel,phecode_721-5,Bursitis,"0.529 (0.52, 0.538)","0.53 (0.521, 0.539)","0.002 (-0.003, 0.007)"
Musc/Skel,phecode_708-8,Secondary osteoarthritis,"0.588 (0.566, 0.614)","0.59 (0.571, 0.614)","0.002 (-0.016, 0.018)"
Rx,phecode_969,Adverse effects of agents primarily affecting gastrointestinal system,"0.588 (0.582, 0.596)","0.59 (0.585, 0.598)","0.002 (-0.001, 0.005)"
Cardio,phecode_444-5,Venous insufficiency (chronic) (peripheral),"0.663 (0.65, 0.677)","0.665 (0.653, 0.679)","0.002 (-0.004, 0.01)"
Genitourinary,phecode_597-1,Urethral stricture,"0.645 (0.623, 0.666)","0.648 (0.626, 0.667)","0.002 (-0.009, 0.011)"
Musc/Skel,phecode_723,Enthesopathy/Enthesitis/Tendinopathy,"0.533 (0.528, 0.538)","0.535 (0.53, 0.54)","0.002 (-0.001, 0.005)"
Derm,phecode_675-1,Circumscribed scleroderma,"0.711 (0.7, 0.721)","0.713 (0.703, 0.723)","0.002 (-0.002, 0.006)"
Musc/Skel,phecode_715,Non-inflammatory spondylopathy,"0.621 (0.614, 0.627)","0.623 (0.617, 0.629)","0.002 (-0.002, 0.006)"
Resp,phecode_468-1,Viral pneumonia,"0.635 (0.6, 0.666)","0.637 (0.608, 0.671)","0.002 (-0.028, 0.033)"
Musc/Skel,phecode_732,Nonspecific abnormal findings on radiological and other examination of musculoskeletal system,"0.598 (0.586, 0.61)","0.6 (0.588, 0.613)","0.002 (-0.002, 0.006)"
GI,phecode_528,Nausea and vomiting,"0.577 (0.571, 0.583)","0.579 (0.571, 0.586)","0.002 (-0.003, 0.006)"
GI,phecode_540,Hepatitis,"0.552 (0.52, 0.581)","0.556 (0.524, 0.584)","0.002 (-0.023, 0.032)"
Blood,phecode_170-1,Neutropenia,"0.584 (0.573, 0.598)","0.585 (0.572, 0.603)","0.002 (-0.012, 0.015)"
Mental,phecode_286,Mood [affective] disorders,"0.563 (0.558, 0.571)","0.566 (0.561, 0.573)","0.002 (-0.001, 0.007)"
Neoplasms,phecode_136-42,Benign neoplasm of rectum and anus,"0.589 (0.579, 0.597)","0.591 (0.582, 0.6)","0.002 (-0.003, 0.007)"
Hearing,phecode_391-1,Otitis media,"0.507 (0.498, 0.517)","0.51 (0.5, 0.519)","0.002 (-0.006, 0.012)"
Resp,phecode_494,Voice disturbance,"0.592 (0.581, 0.604)","0.594 (0.583, 0.607)","0.003 (-0.004, 0.008)"
Derm,phecode_678,Other skin and connective tissue disorders,"0.552 (0.547, 0.557)","0.555 (0.55, 0.559)","0.003 (0.001, 0.004)"
Mental,phecode_294,Sexual dysfunction and disorders,"0.786 (0.78, 0.79)","0.788 (0.783, 0.793)","0.003 (0.001, 0.005)"
GI,phecode_523-2,Diverticula of colon,"0.628 (0.622, 0.634)","0.631 (0.624, 0.637)","0.003 (0, 0.005)"
Blood,phecode_170,Decreased white blood cell count,"0.583 (0.57, 0.598)","0.588 (0.57, 0.605)","0.003 (-0.008, 0.018)"
Musc/Skel,phecode_703,Chrystal arthropathies,"0.697 (0.69, 0.705)","0.7 (0.693, 0.708)","0.003 (-0.002, 0.006)"
Musc/Skel,phecode_711-1,Derangement of meniscus,"0.521 (0.507, 0.531)","0.523 (0.509, 0.534)","0.003 (-0.01, 0.016)"
ID,phecode_089-2,Viral infections,"0.526 (0.521, 0.531)","0.528 (0.524, 0.534)","0.003 (-0.001, 0.006)"
Neuro,phecode_331-1,Tension headache,"0.606 (0.591, 0.621)","0.609 (0.594, 0.626)","0.003 (-0.004, 0.009)"
Cardio,phecode_424-1,Left heart failure,"0.73 (0.719, 0.742)","0.733 (0.721, 0.745)","0.003 (-0.005, 0.01)"
Musc/Skel,phecode_708-1,Primary osteoarthritis,"0.604 (0.596, 0.61)","0.607 (0.599, 0.614)","0.003 (0, 0.005)"
Derm,phecode_675,Atrophic conditions of skin,"0.711 (0.698, 0.723)","0.714 (0.701, 0.725)","0.003 (-0.001, 0.007)"
Cardio,phecode_424-2,Systolic heart failure,"0.708 (0.686, 0.731)","0.71 (0.691, 0.73)","0.003 (-0.008, 0.012)"
Cardio,phecode_404,Ischemic heart disease,"0.689 (0.682, 0.695)","0.692 (0.685, 0.697)","0.003 (0, 0.006)"
Eye,phecode_367,Inflammation of the eye,"0.564 (0.558, 0.571)","0.567 (0.56, 0.574)","0.003 (0, 0.007)"
Musc/Skel,phecode_724-52,Osteophyte*,"0.572 (0.553, 0.588)","0.575 (0.556, 0.595)","0.003 (-0.01, 0.017)"
GI,phecode_557-2,Blood in stool,"0.625 (0.607, 0.64)","0.628 (0.607, 0.642)","0.003 (-0.01, 0.015)"
GI,phecode_546,Other disorders of liver,"0.593 (0.578, 0.605)","0.596 (0.581, 0.608)","0.003 (-0.009, 0.015)"
Musc/Skel,phecode_708-16,Primary osteoarthritis ankle and foot,"0.558 (0.543, 0.572)","0.562 (0.547, 0.574)","0.003 (-0.006, 0.013)"
Blood,phecode_169-11,Immune thrombocytopenic purpura [ITP],"0.607 (0.566, 0.666)","0.611 (0.568, 0.663)","0.003 (-0.03, 0.042)"
Neuro,phecode_354,Dizziness and giddiness,"0.57 (0.564, 0.576)","0.574 (0.567, 0.578)","0.003 (0, 0.006)"
Neoplasms,phecode_116-2,Secondary malignancy of respiratory organs,"0.634 (0.619, 0.649)","0.637 (0.622, 0.651)","0.003 (-0.012, 0.018)"
