phecode_category,endpoint,phecode_string,Age+Sex,Age+Sex+Retina,delta,epic_agesex,epic_agesexretina,epic_delta,sign_ukb,sign_epic,sign
Neoplasms,phecode_121-21,Chronic lymphoid leukemia,"0.725 (0.695, 0.751)","0.717 (0.68, 0.745)","-0.01 (-0.027, 0.004)",,,,ns,NA,ns|NA
GI,phecode_500,Disorders of tooth develoment,"0.59 (0.553, 0.628)","0.583 (0.551, 0.61)","-0.01 (-0.026, 0.005)",,,,ns,NA,ns|NA
ID,phecode_011,Klebsiella,"0.669 (0.636, 0.7)","0.66 (0.628, 0.69)","-0.01 (-0.041, 0.021)",,,,ns,NA,ns|NA
GI,phecode_503-5,Periapical abscess,"0.454 (0.411, 0.487)","0.445 (0.402, 0.49)","-0.01 (-0.043, 0.033)",,,,ns,NA,ns|NA
Musc/Skel,phecode_712,Other specific joint derangements,"0.547 (0.523, 0.565)","0.537 (0.518, 0.556)","-0.01 (-0.02, 0.004)",,,,ns,NA,ns|NA
Musc/Skel,phecode_719,Disorders of muscle,"0.57 (0.539, 0.596)","0.56 (0.532, 0.581)","-0.01 (-0.025, 0.009)",,,,ns,NA,ns|NA
GI,phecode_500-4,Disturbances in tooth eruption,"0.588 (0.552, 0.631)","0.577 (0.537, 0.621)","-0.01 (-0.027, 0.007)",,,,ns,NA,ns|NA
Musc/Skel,phecode_721-2,Ganglion cyst,"0.543 (0.515, 0.57)","0.533 (0.508, 0.558)","-0.01 (-0.028, 0.011)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_841-13,Allergy to sulfonamides,"0.687 (0.666, 0.716)","0.678 (0.652, 0.703)","-0.01 (-0.02, 0.002)",,,,ns,NA,ns|NA
Mental,phecode_308-7,Restlessness and agitation*,"0.654 (0.603, 0.696)","0.641 (0.595, 0.683)","-0.009 (-0.038, 0.011)",,,,ns,NA,ns|NA
Genitourinary,phecode_602,Other disorders of prostate,"0.656 (0.637, 0.682)","0.647 (0.626, 0.673)","-0.009 (-0.024, 0.008)",,,,ns,NA,ns|NA
Cardio,phecode_416-5,Premature depolarization [Premature beats],"0.667 (0.639, 0.691)","0.659 (0.629, 0.679)","-0.009 (-0.018, 0)",,,,ns,NA,ns|NA
GI,phecode_556-3,"Abdominal or pelvic swelling, mass, or lump","0.601 (0.568, 0.636)","0.593 (0.551, 0.628)","-0.009 (-0.035, 0.017)",,,,ns,NA,ns|NA
Cardio,phecode_416-52,Ventricular premature depolarization*,"0.654 (0.62, 0.681)","0.645 (0.613, 0.67)","-0.009 (-0.019, 0.002)",,,,ns,NA,ns|NA
Neoplasms,phecode_149,Benign neoplasm of the endocrine glands,"0.593 (0.569, 0.616)","0.583 (0.554, 0.607)","-0.009 (-0.03, 0.011)",,,,ns,NA,ns|NA
Genitourinary,phecode_614-1,"Pelvic peritoneal adhesions, female (postoperative) (postinfection)","0.545 (0.507, 0.587)","0.536 (0.506, 0.569)","-0.009 (-0.031, 0.016)",,,,ns,NA,ns|NA
Genitourinary,phecode_596-3,Diverticulum of bladder,"0.72 (0.691, 0.756)","0.714 (0.677, 0.745)","-0.009 (-0.015, -0.003)",,,,-,NA,-|NA
GI,phecode_500-41,Impacted teeth*,"0.576 (0.548, 0.611)","0.566 (0.531, 0.606)","-0.009 (-0.025, 0.011)",,,,ns,NA,ns|NA
Endo,phecode_208-21,Primary hyperparathyroidism,"0.634 (0.608, 0.666)","0.627 (0.597, 0.656)","-0.008 (-0.032, 0.016)",,,,ns,NA,ns|NA
Eye,phecode_381,Strabismus,"0.596 (0.57, 0.634)","0.586 (0.555, 0.618)","-0.008 (-0.037, 0.014)",,,,ns,NA,ns|NA
GI,phecode_520-14,Ventral hernia,"0.57 (0.547, 0.587)","0.561 (0.539, 0.581)","-0.008 (-0.025, 0.01)",,,,ns,NA,ns|NA
Neoplasms,phecode_144-3,Benign neoplasms of the ovary,"0.49 (0.449, 0.529)","0.479 (0.449, 0.524)","-0.008 (-0.048, 0.03)",,,,ns,NA,ns|NA
Genitourinary,phecode_592-12,Chronic cystitis,"0.55 (0.507, 0.589)","0.542 (0.509, 0.577)","-0.008 (-0.038, 0.02)",,,,ns,NA,ns|NA
Genitourinary,phecode_622-2,Mucous polyp of cervix,"0.553 (0.521, 0.587)","0.543 (0.516, 0.574)","-0.008 (-0.041, 0.021)",,,,ns,NA,ns|NA
Genitourinary,phecode_624,Symptoms involving female genital tract,"0.56 (0.534, 0.581)","0.551 (0.522, 0.578)","-0.008 (-0.026, 0.015)",,,,ns,NA,ns|NA
Resp,phecode_488-8,Mouth breathing*,"0.57 (0.536, 0.611)","0.558 (0.523, 0.596)","-0.008 (-0.035, 0.021)",,,,ns,NA,ns|NA
Cardio,phecode_410,Inflammation of the heart [Carditis],"0.656 (0.622, 0.685)","0.647 (0.62, 0.678)","-0.008 (-0.032, 0.017)",,,,ns,NA,ns|NA
Musc/Skel,phecode_708-12,"Primary osteoarthritis of knee, lower leg","0.633 (0.617, 0.649)","0.626 (0.606, 0.642)","-0.007 (-0.014, 0.001)",,,,ns,NA,ns|NA
GI,phecode_514-3,Ileus,"0.694 (0.664, 0.731)","0.682 (0.648, 0.723)","-0.007 (-0.03, 0.008)",,,,ns,NA,ns|NA
Cardio,phecode_416-12,Ventricular tachycardia,"0.723 (0.689, 0.749)","0.715 (0.688, 0.746)","-0.007 (-0.02, 0.007)",,,,ns,NA,ns|NA
Neoplasms,phecode_148,"Benign neoplasm of the eye, brain and other parts of central nervous system","0.634 (0.6, 0.661)","0.626 (0.598, 0.654)","-0.007 (-0.024, 0.014)",,,,ns,NA,ns|NA
Cardio,phecode_431-2,Transient cerebral ischemic attacks,"0.71 (0.693, 0.737)","0.703 (0.688, 0.728)","-0.007 (-0.017, 0.003)",,,,ns,NA,ns|NA
Derm,phecode_685-82,Generalized hyperhidrosis,"0.527 (0.485, 0.574)","0.52 (0.462, 0.565)","-0.007 (-0.056, 0.029)",,,,ns,NA,ns|NA
Genitourinary,phecode_628-2,Corpus luteum cyst or hematoma,"0.563 (0.536, 0.585)","0.554 (0.525, 0.582)","-0.007 (-0.023, 0.007)",,,,ns,NA,ns|NA
Cardio,phecode_417-1,Palpitations,"0.583 (0.569, 0.599)","0.575 (0.562, 0.591)","-0.007 (-0.014, -0.002)",,,,-,NA,-|NA
Cardio,phecode_433-2,Occlusion and stenosis of precerebral arteries,"0.769 (0.748, 0.793)","0.763 (0.741, 0.784)","-0.007 (-0.02, 0.01)",,,,ns,NA,ns|NA
Endo,phecode_209,Disorders of the pituitary gland and its hypothalamic control,"0.613 (0.571, 0.646)","0.604 (0.569, 0.644)","-0.007 (-0.036, 0.019)",,,,ns,NA,ns|NA
Neoplasms,phecode_120-21,Mature B-cell,"0.686 (0.666, 0.705)","0.679 (0.663, 0.7)","-0.007 (-0.017, 0.004)",,,,ns,NA,ns|NA
Neoplasms,phecode_122-2,Non-Hodgkin lymphoma,"0.665 (0.64, 0.685)","0.659 (0.636, 0.678)","-0.006 (-0.017, 0.007)",,,,ns,NA,ns|NA
Neoplasms,phecode_120-2,Lymphoid,"0.674 (0.66, 0.692)","0.669 (0.65, 0.685)","-0.006 (-0.016, 0.003)",,,,ns,NA,ns|NA
Endo,phecode_200-3,Thyrotoxicosis [hyperthyroidism],"0.63 (0.607, 0.653)","0.623 (0.599, 0.653)","-0.006 (-0.02, 0.006)",,,,ns,NA,ns|NA
Cardio,phecode_416-11,Supraventricular tachycardia,"0.624 (0.602, 0.646)","0.618 (0.595, 0.642)","-0.006 (-0.02, 0.006)",,,,ns,NA,ns|NA
Neoplasms,phecode_101-8,Malignant neoplasm of the pancreas,"0.678 (0.645, 0.703)","0.673 (0.635, 0.697)","-0.006 (-0.028, 0.009)",,,,ns,NA,ns|NA
Neoplasms,phecode_144-13,Benign neoplasms of the cervix,"0.565 (0.533, 0.602)","0.557 (0.524, 0.595)","-0.005 (-0.028, 0.016)",,,,ns,NA,ns|NA
Musc/Skel,phecode_708-11,"Primary osteoarthritis of hip, pelvic region and thigh","0.61 (0.59, 0.626)","0.603 (0.587, 0.622)","-0.005 (-0.014, 0.002)",,,,ns,NA,ns|NA
Neuro,phecode_324-1,Parkinsonism,"0.732 (0.709, 0.748)","0.726 (0.705, 0.743)","-0.005 (-0.012, 0.003)",,,,ns,NA,ns|NA
Hearing,phecode_396-2,Sensorineural hearing loss,"0.636 (0.613, 0.667)","0.629 (0.608, 0.662)","-0.005 (-0.019, 0.009)",,,,ns,NA,ns|NA
Neuro,phecode_324-11,Parkinson's disease (Primary),"0.735 (0.721, 0.753)","0.731 (0.714, 0.746)","-0.005 (-0.011, 0.001)",,,,ns,NA,ns|NA
Cardio,phecode_433-21,Carotid artery stenosis,"0.767 (0.749, 0.794)","0.761 (0.742, 0.792)","-0.005 (-0.022, 0.008)",,,,ns,NA,ns|NA
Genitourinary,phecode_622-1,Polyp of corpus uteri,"0.523 (0.508, 0.537)","0.52 (0.501, 0.533)","-0.005 (-0.016, 0.006)",,,,ns,NA,ns|NA
Genitourinary,phecode_618-11,Cystocele,"0.585 (0.565, 0.602)","0.579 (0.562, 0.596)","-0.005 (-0.011, 0.003)",,,,ns,NA,ns|NA
ID,phecode_095,Sequela of infection,"0.536 (0.502, 0.574)","0.529 (0.499, 0.566)","-0.005 (-0.026, 0.021)",,,,ns,NA,ns|NA
Genitourinary,phecode_622,Polyp of female genital organs,"0.534 (0.517, 0.553)","0.53 (0.515, 0.547)","-0.005 (-0.017, 0.009)",,,,ns,NA,ns|NA
Resp,phecode_471-2,Deviated nasal septum,"0.617 (0.591, 0.649)","0.613 (0.584, 0.646)","-0.005 (-0.01, 0.002)",,,,ns,NA,ns|NA
Resp,phecode_460-1,Acute upper respiratory infection,"0.523 (0.5, 0.544)","0.518 (0.494, 0.535)","-0.004 (-0.025, 0.012)",,,,ns,NA,ns|NA
Blood,phecode_170-1,Neutropenia,"0.623 (0.605, 0.638)","0.619 (0.599, 0.633)","-0.004 (-0.015, 0.007)",,,,ns,NA,ns|NA
Resp,phecode_473,Other diseases of upper respiratory tract,"0.531 (0.499, 0.578)","0.529 (0.484, 0.573)","-0.004 (-0.037, 0.02)",,,,ns,NA,ns|NA
Derm,phecode_685-8,Hyperhidrosis,"0.524 (0.487, 0.572)","0.524 (0.46, 0.573)","-0.004 (-0.044, 0.032)",,,,ns,NA,ns|NA
Neoplasms,phecode_106,Gynecological malignant neoplasms,"0.58 (0.564, 0.602)","0.574 (0.56, 0.601)","-0.004 (-0.014, 0.004)",,,,ns,NA,ns|NA
Genitourinary,phecode_594-4,Frequency of urination and polyuria,"0.631 (0.611, 0.655)","0.626 (0.605, 0.652)","-0.004 (-0.009, 0.002)",,,,ns,NA,ns|NA
GI,phecode_503,Diseases of pulp and periapical tissues,"0.435 (0.404, 0.465)","0.432 (0.402, 0.47)","-0.004 (-0.036, 0.029)",,,,ns,NA,ns|NA
Derm,phecode_676-2,Scar conditions and fibrosis of skin,"0.533 (0.503, 0.556)","0.526 (0.497, 0.552)","-0.004 (-0.026, 0.023)",,,,ns,NA,ns|NA
Cardio,phecode_416-7,Sinoatrial node dysfunction,"0.736 (0.704, 0.771)","0.73 (0.703, 0.765)","-0.004 (-0.016, 0.007)",,,,ns,NA,ns|NA
Blood,phecode_170,Decreased white blood cell count,"0.624 (0.606, 0.641)","0.62 (0.597, 0.636)","-0.004 (-0.018, 0.006)",,,,ns,NA,ns|NA
Blood,phecode_162,Aplastic anemia,"0.664 (0.634, 0.7)","0.66 (0.629, 0.699)","-0.004 (-0.033, 0.024)",,,,ns,NA,ns|NA
Cardio,phecode_416-43,Right bundle branch block,"0.706 (0.694, 0.724)","0.702 (0.687, 0.721)","-0.004 (-0.009, 0.001)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_814,Jaundice (not of newborn),"0.599 (0.562, 0.627)","0.595 (0.554, 0.623)","-0.004 (-0.03, 0.028)",,,,ns,NA,ns|NA
GI,phecode_510-8,Barrett's esophagus,"0.657 (0.643, 0.666)","0.653 (0.64, 0.662)","-0.004 (-0.008, 0)",,,,ns,NA,ns|NA
Cardio,phecode_416-71,Sick sinus syndrome*,"0.73 (0.697, 0.765)","0.726 (0.7, 0.762)","-0.004 (-0.015, 0.01)",,,,ns,NA,ns|NA
Resp,phecode_471,Other disorders of nose and nasal sinuses,"0.573 (0.555, 0.592)","0.57 (0.551, 0.589)","-0.003 (-0.013, 0.005)",,,,ns,NA,ns|NA
GI,phecode_518,Appendicitis,"0.55 (0.529, 0.578)","0.546 (0.526, 0.571)","-0.003 (-0.02, 0.017)",,,,ns,NA,ns|NA
Genitourinary,phecode_596-1,Bladder neck obstruction,"0.793 (0.772, 0.822)","0.791 (0.769, 0.818)","-0.003 (-0.011, 0.004)",,,,ns,NA,ns|NA
Genitourinary,phecode_614,Inflammatory diseases of female pelvic organs,"0.537 (0.513, 0.562)","0.535 (0.5, 0.561)","-0.003 (-0.021, 0.009)",,,,ns,NA,ns|NA
GI,phecode_504-3,Periodontitis,"0.542 (0.501, 0.587)","0.537 (0.499, 0.576)","-0.003 (-0.037, 0.025)",,,,ns,NA,ns|NA
Neoplasms,phecode_139-53,Lipoma of other skin subcutaneous tissue,"0.516 (0.493, 0.549)","0.513 (0.484, 0.536)","-0.003 (-0.017, 0.012)",,,,ns,NA,ns|NA
Cardio,phecode_413-6,Heart valve replaced,"0.726 (0.706, 0.75)","0.723 (0.702, 0.744)","-0.003 (-0.012, 0.006)",,,,ns,NA,ns|NA
Eye,phecode_362,Other disorders of the eyelids,"0.582 (0.555, 0.605)","0.579 (0.551, 0.603)","-0.003 (-0.015, 0.008)",,,,ns,NA,ns|NA
Neoplasms,phecode_136-2,Benign neoplasm of stomach,"0.629 (0.617, 0.641)","0.626 (0.614, 0.637)","-0.003 (-0.006, 0)",,,,ns,NA,ns|NA
Genitourinary,phecode_626-14,Irregular menstrual bleeding,"0.863 (0.851, 0.874)","0.86 (0.846, 0.873)","-0.003 (-0.011, 0.005)",,,,ns,NA,ns|NA
Neoplasms,phecode_101-6,Malignant neoplasm of the liver and intrahepatic bile ducts,"0.729 (0.698, 0.762)","0.727 (0.682, 0.764)","-0.003 (-0.028, 0.019)",,,,ns,NA,ns|NA
Genitourinary,phecode_619-3,Noninflammatory disorders of cervix,"0.5 (0.465, 0.527)","0.496 (0.46, 0.533)","-0.003 (-0.024, 0.018)",,,,ns,NA,ns|NA
Genitourinary,phecode_627,Menopausal and postmenopausal disorders,"0.655 (0.643, 0.666)","0.652 (0.639, 0.664)","-0.003 (-0.006, 0.001)",,,,ns,NA,ns|NA
Neoplasms,phecode_122,Lymphoma,"0.663 (0.642, 0.68)","0.659 (0.638, 0.678)","-0.003 (-0.012, 0.007)",,,,ns,NA,ns|NA
Neoplasms,phecode_101-1,Malignant neoplasm of the esophagus,"0.725 (0.701, 0.754)","0.723 (0.699, 0.753)","-0.003 (-0.018, 0.012)",,,,ns,NA,ns|NA
Cardio,phecode_417-3,Bradycardia*,"0.687 (0.675, 0.703)","0.684 (0.674, 0.703)","-0.003 (-0.007, 0.004)",,,,ns,NA,ns|NA
Eye,phecode_386-2,Diplopia,"0.578 (0.535, 0.618)","0.578 (0.536, 0.611)","-0.003 (-0.026, 0.027)",,,,ns,NA,ns|NA
Neoplasms,phecode_116-3,Secondary malignant neoplasm of digestive systems,"0.635 (0.611, 0.655)","0.632 (0.606, 0.654)","-0.003 (-0.016, 0.011)",,,,ns,NA,ns|NA
Genitourinary,phecode_592-1,Cystitis,"0.618 (0.597, 0.641)","0.615 (0.595, 0.637)","-0.002 (-0.015, 0.014)",,,,ns,NA,ns|NA
Endo,phecode_208,Disorders of parathyroid gland,"0.642 (0.614, 0.668)","0.64 (0.612, 0.666)","-0.002 (-0.021, 0.015)",,,,ns,NA,ns|NA
Musc/Skel,phecode_705-3,Polymyalgia rheumatica,"0.738 (0.72, 0.751)","0.735 (0.716, 0.751)","-0.002 (-0.008, 0.003)",,,,ns,NA,ns|NA
ID,phecode_070,Candidiasis,"0.645 (0.628, 0.665)","0.643 (0.624, 0.66)","-0.002 (-0.013, 0.011)",,,,ns,NA,ns|NA
GI,phecode_513-3,Duodenal ulcer,"0.623 (0.601, 0.65)","0.623 (0.601, 0.644)","-0.002 (-0.015, 0.012)",,,,ns,NA,ns|NA
Cong,phecode_773,Congenital malformation of kidney,"0.592 (0.532, 0.631)","0.588 (0.538, 0.631)","-0.002 (-0.033, 0.023)",,,,ns,NA,ns|NA
Genitourinary,phecode_618-12,Rectocele,"0.566 (0.542, 0.587)","0.564 (0.542, 0.583)","-0.002 (-0.01, 0.011)",,,,ns,NA,ns|NA
Genitourinary,phecode_618-1,Prolapse of vaginal walls,"0.58 (0.568, 0.595)","0.578 (0.566, 0.594)","-0.002 (-0.009, 0.003)",,,,ns,NA,ns|NA
Derm,phecode_676,Hypertrophic conditions of skin,"0.505 (0.486, 0.531)","0.505 (0.483, 0.524)","-0.002 (-0.021, 0.019)",,,,ns,NA,ns|NA
Cardio,phecode_416-42,Left bundle branch block,"0.729 (0.71, 0.746)","0.726 (0.709, 0.743)","-0.002 (-0.009, 0.004)",,,,ns,NA,ns|NA
Genitourinary,phecode_615,Endometriosis,"0.703 (0.673, 0.741)","0.7 (0.676, 0.736)","-0.002 (-0.012, 0.01)",,,,ns,NA,ns|NA
Genitourinary,phecode_592,Cystitis and urethritis,"0.622 (0.599, 0.646)","0.619 (0.598, 0.642)","-0.002 (-0.012, 0.008)",,,,ns,NA,ns|NA
Genitourinary,phecode_626-1,Irregular menstrual cycle/bleeding,"0.847 (0.836, 0.861)","0.847 (0.835, 0.858)","-0.002 (-0.008, 0.004)",,,,ns,NA,ns|NA
Cardio,phecode_438-1,Aortic aneurysm and ectasia,"0.793 (0.777, 0.813)","0.792 (0.776, 0.814)","-0.002 (-0.01, 0.006)",,,,ns,NA,ns|NA
Endo,phecode_208-2,Hyperparathyroidism,"0.637 (0.613, 0.667)","0.636 (0.604, 0.665)","-0.002 (-0.016, 0.014)",,,,ns,NA,ns|NA
Genitourinary,phecode_618,Genital prolapse,"0.588 (0.575, 0.603)","0.586 (0.575, 0.599)","-0.001 (-0.006, 0.003)",,,,ns,NA,ns|NA
Signs/Symptoms,phecode_840,Allergy,"0.563 (0.549, 0.576)","0.562 (0.552, 0.573)","-0.001 (-0.007, 0.004)",,,,ns,NA,ns|NA
Mental,phecode_290,"Reaction to severe stress, and adjustment disorders","0.632 (0.595, 0.675)","0.635 (0.597, 0.674)","-0.001 (-0.034, 0.044)",,,,ns,NA,ns|NA
GI,phecode_517,Gastrointestinal angiodysplasia,"0.703 (0.672, 0.73)","0.703 (0.665, 0.729)","-0.001 (-0.024, 0.021)",,,,ns,NA,ns|NA
Musc/Skel,phecode_709-21,Hallux valgus (Bunion),"0.695 (0.684, 0.704)","0.693 (0.682, 0.704)","-0.001 (-0.006, 0.003)",,,,ns,NA,ns|NA
Blood,phecode_174-2,Splenomegaly,"0.648 (0.606, 0.696)","0.645 (0.593, 0.686)","-0.001 (-0.06, 0.053)",,,,ns,NA,ns|NA
Hearing,phecode_394-2,Vertigo,"0.625 (0.597, 0.658)","0.624 (0.589, 0.66)","-0.001 (-0.031, 0.023)",,,,ns,NA,ns|NA
Blood,phecode_174,Diseases of spleen,"0.605 (0.577, 0.641)","0.602 (0.574, 0.636)","-0.001 (-0.033, 0.032)",,,,ns,NA,ns|NA
Cardio,phecode_416-1,Paroxysmal tachycardia,"0.642 (0.63, 0.659)","0.641 (0.627, 0.658)","-0.001 (-0.012, 0.01)",,,,ns,NA,ns|NA
Metab,phecode_256-2,Hyposmolality and/or hyponatremia,"0.693 (0.678, 0.705)","0.692 (0.677, 0.704)","-0.001 (-0.009, 0.006)",,,,ns,NA,ns|NA
Neoplasms,phecode_132,Sequelae of cancer,"0.739 (0.727, 0.752)","0.737 (0.725, 0.751)","-0.001 (-0.005, 0.003)",,,,ns,NA,ns|NA
Cardio,phecode_406-1,Pulmonary hypertension,"0.74 (0.717, 0.76)","0.739 (0.713, 0.765)","-0.001 (-0.016, 0.016)",,,,ns,NA,ns|NA
Genitourinary,phecode_627-4,Menorrhagia/Excessive and frequent menstruation,"0.875 (0.869, 0.882)","0.875 (0.867, 0.881)","-0.001 (-0.003, 0.002)",,,,ns,NA,ns|NA
Cardio,phecode_416-21,Atrial fibrillation,"0.699 (0.69, 0.712)","0.699 (0.689, 0.712)","-0.001 (-0.006, 0.005)",,,,ns,NA,ns|NA
Cardio,phecode_416-41,Atrioventricular block,"0.76 (0.748, 0.773)","0.759 (0.746, 0.771)","0 (-0.005, 0.002)",,,,ns,NA,ns|NA
Neoplasms,phecode_101-42,Malignant neoplasm of the rectum,"0.683 (0.647, 0.712)","0.68 (0.652, 0.709)","0 (-0.01, 0.008)",,,,ns,NA,ns|NA
Neoplasms,phecode_135-5,Benign neoplasm of the paranasal sinus and nasal cavity,"0.62 (0.588, 0.649)","0.62 (0.596, 0.645)","0 (-0.01, 0.012)",,,,ns,NA,ns|NA
GI,phecode_552-2,Obstruction of bile duct,"0.648 (0.618, 0.673)","0.647 (0.611, 0.676)","0 (-0.019, 0.019)",,,,ns,NA,ns|NA
Resp,phecode_471-5,Nasal polyps,"0.617 (0.591, 0.653)","0.618 (0.595, 0.644)","0 (-0.014, 0.014)",,,,ns,NA,ns|NA
Cardio,phecode_416-211,Paroxysmal atrial fibrillation*,"0.697 (0.683, 0.709)","0.697 (0.682, 0.71)","0 (-0.007, 0.006)",,,,ns,NA,ns|NA
Neoplasms,phecode_116-4,Secondary malignant neoplasm of liver,"0.665 (0.65, 0.679)","0.664 (0.65, 0.681)","0 (-0.007, 0.007)",,,,ns,NA,ns|NA
Cardio,phecode_413-11,Mitral valve insufficiency,"0.696 (0.682, 0.713)","0.696 (0.677, 0.713)","0 (-0.007, 0.008)",,,,ns,NA,ns|NA
Genitourinary,phecode_626,Disorders of menstruation and other abnormal bleeding from female genital tract,"0.798 (0.78, 0.815)","0.8 (0.779, 0.815)","0 (-0.005, 0.005)",,,,ns,NA,ns|NA
Genitourinary,phecode_604,Disorders of penis,"0.568 (0.541, 0.588)","0.566 (0.54, 0.593)","0 (-0.021, 0.021)",,,,ns,NA,ns|NA
GI,phecode_529-3,Fecal incontinence,"0.638 (0.611, 0.656)","0.637 (0.62, 0.657)","0.001 (-0.015, 0.015)",,,,ns,NA,ns|NA
GI,phecode_552,Other diseases of biliary tract,"0.616 (0.591, 0.642)","0.615 (0.594, 0.636)","0.001 (-0.015, 0.011)",,,,ns,NA,ns|NA
Neoplasms,phecode_136-42,Benign neoplasm of rectum and anus,"0.59 (0.579, 0.599)","0.591 (0.578, 0.6)","0.001 (-0.004, 0.005)",,,,ns,NA,ns|NA
Hearing,phecode_391-1,Otitis media,"0.541 (0.493, 0.577)","0.541 (0.512, 0.572)","0.001 (-0.032, 0.045)",,,,ns,NA,ns|NA
Derm,phecode_668-4,Dermatitis due to substances taken internally,"0.509 (0.461, 0.556)","0.511 (0.459, 0.551)","0.001 (-0.054, 0.053)",,,,ns,NA,ns|NA
Cardio,phecode_446-2,Orthostatic hypotension,"0.707 (0.688, 0.721)","0.708 (0.691, 0.722)","0.001 (-0.009, 0.013)",,,,ns,NA,ns|NA
Cardio,phecode_413-32,Tricuspid value insufficiency*,"0.703 (0.682, 0.735)","0.707 (0.682, 0.741)","0.001 (-0.014, 0.027)",,,,ns,NA,ns|NA
Cardio,phecode_416-212,Persistent atrial fibrillation*,"0.679 (0.652, 0.707)","0.68 (0.655, 0.72)","0.001 (-0.02, 0.022)",,,,ns,NA,ns|NA
Cardio,phecode_438-11,Abdominal aortic aneurysm,"0.845 (0.826, 0.858)","0.845 (0.829, 0.862)","0.001 (-0.01, 0.012)",,,,ns,NA,ns|NA
GI,phecode_514-2,Intestinal obstruction,"0.606 (0.58, 0.625)","0.607 (0.585, 0.626)","0.001 (-0.012, 0.015)",,,,ns,NA,ns|NA
Resp,phecode_480,Pulmonary edema,"0.673 (0.642, 0.707)","0.672 (0.638, 0.712)","0.001 (-0.022, 0.028)",,,,ns,NA,ns|NA
Musc/Skel,phecode_709-24,Hammer toe,"0.706 (0.682, 0.722)","0.707 (0.684, 0.724)","0.001 (-0.005, 0.008)",,,,ns,NA,ns|NA
Neoplasms,phecode_144-2,Benign neoplasms of the uterus,"0.61 (0.597, 0.621)","0.611 (0.598, 0.624)","0.001 (-0.005, 0.006)",,,,ns,NA,ns|NA
Genitourinary,phecode_580-3,Nephrotic syndrome,"0.539 (0.495, 0.58)","0.54 (0.5, 0.581)","0.001 (-0.033, 0.03)",,,,ns,NA,ns|NA
Neoplasms,phecode_103-1,Melanomas of skin,"0.592 (0.574, 0.613)","0.593 (0.574, 0.616)","0.001 (-0.012, 0.013)",,,,ns,NA,ns|NA
Derm,phecode_670,Seborrheic keratosis,"0.615 (0.591, 0.637)","0.617 (0.594, 0.638)","0.001 (-0.007, 0.011)",,,,ns,NA,ns|NA
Metab,phecode_230-3,Anorexia,"0.644 (0.616, 0.677)","0.649 (0.615, 0.678)","0.001 (-0.018, 0.028)",,,,ns,NA,ns|NA
Genitourinary,phecode_619,Noninflammatory female genital disorders,"0.496 (0.48, 0.512)","0.499 (0.48, 0.513)","0.001 (-0.008, 0.013)",,,,ns,NA,ns|NA
GI,phecode_510-2,Esophagitis,"0.585 (0.578, 0.595)","0.586 (0.579, 0.595)","0.001 (-0.004, 0.007)",,,,ns,NA,ns|NA
Genitourinary,phecode_594-2,Dysuria,"0.588 (0.55, 0.619)","0.592 (0.558, 0.621)","0.001 (-0.024, 0.028)",,,,ns,NA,ns|NA
Endo,phecode_200-13,Postprocedural hypothyroidism,"0.663 (0.638, 0.683)","0.663 (0.639, 0.69)","0.001 (-0.009, 0.013)",,,,ns,NA,ns|NA
Endo,phecode_200-2,Goiter,"0.661 (0.638, 0.679)","0.661 (0.642, 0.681)","0.002 (-0.01, 0.01)",,,,ns,NA,ns|NA
Neoplasms,phecode_144,Gynecological benign neoplasms,"0.6 (0.588, 0.611)","0.601 (0.588, 0.611)","0.002 (-0.005, 0.007)",,,,ns,NA,ns|NA
Musc/Skel,phecode_722,Fasciopathy,"0.675 (0.657, 0.689)","0.676 (0.656, 0.69)","0.002 (-0.003, 0.007)",,,,ns,NA,ns|NA
Musc/Skel,phecode_722-4,Palmar fascial fibromatosis [Dupuytren],"0.717 (0.704, 0.736)","0.719 (0.704, 0.735)","0.002 (-0.003, 0.006)",,,,ns,NA,ns|NA
Musc/Skel,phecode_709,Acquired deformities of fingers and toes,"0.671 (0.66, 0.682)","0.672 (0.663, 0.683)","0.002 (-0.002, 0.006)",,,,ns,NA,ns|NA
GI,phecode_557,Gastrointestinal hemorrhage,"0.551 (0.541, 0.561)","0.552 (0.542, 0.56)","0.002 (-0.006, 0.008)",,,,ns,NA,ns|NA
Resp,phecode_478,Aspiration pneumonia,"0.736 (0.713, 0.756)","0.736 (0.711, 0.754)","0.002 (-0.016, 0.017)",,,,ns,NA,ns|NA
GI,phecode_523-2,Diverticula of colon,"0.629 (0.623, 0.634)","0.631 (0.626, 0.636)","0.002 (0, 0.003)",,,,ns,NA,ns|NA
GI,phecode_529,Symptoms involving digestive system,"0.592 (0.586, 0.598)","0.594 (0.589, 0.599)","0.002 (-0.002, 0.005)",,,,ns,NA,ns|NA
Hearing,phecode_394,Disorders of vestibular function,"0.632 (0.608, 0.66)","0.635 (0.609, 0.662)","0.002 (-0.014, 0.017)",,,,ns,NA,ns|NA
Neoplasms,phecode_139,Benign sarcoma-related cancers,"0.541 (0.521, 0.553)","0.542 (0.523, 0.555)","0.002 (-0.006, 0.009)",,,,ns,NA,ns|NA
