phecode_category,phecode, phecode_string, 1_,2_,3_,4_,5_,6_,7_,8_,9_,10_,1,2,3,4,5,6,7,8,9,10, rr
Signs/Symptoms,phecode_840-8,Allergies related to other diseases/symptoms,235,255,280,279,291,297,273,301,310,443,0.043,0.046,0.051,0.051,0.053,0.054,0.05,0.055,0.056,0.081,1.885
Musc/Skel,phecode_721-4,Calcium deposits in tendon and bursa,9,16,8,20,19,10,13,10,18,17,0.001,0.003,0.001,0.003,0.003,0.002,0.002,0.002,0.003,0.003,1.889
Mental,phecode_286-2,Major depressive disorder,362,362,437,415,432,466,488,517,617,685,0.069,0.069,0.083,0.079,0.082,0.089,0.093,0.099,0.118,0.131,1.893
Musc/Skel,phecode_724-5,Exostosis,47,58,62,52,66,64,88,89,99,89,0.008,0.01,0.01,0.009,0.011,0.011,0.014,0.015,0.016,0.015,1.894
GI,phecode_501,Dental caries,39,55,55,45,61,58,60,66,66,74,0.006,0.009,0.009,0.007,0.01,0.01,0.01,0.011,0.011,0.012,1.898
Mental,phecode_284,Suicide attempt,49,44,40,55,76,63,68,75,101,93,0.008,0.007,0.007,0.009,0.013,0.01,0.011,0.012,0.017,0.015,1.898
Genitourinary,phecode_581-1,Pyelonephritis,20,26,30,24,32,32,27,28,38,38,0.003,0.004,0.005,0.004,0.005,0.005,0.004,0.005,0.006,0.006,1.9
Musc/Skel,phecode_724,Other symptoms and disorders of the soft tissue,470,502,541,654,653,725,731,787,834,897,0.083,0.088,0.095,0.115,0.115,0.127,0.128,0.138,0.147,0.158,1.909
GI,phecode_511,Gastro-esophageal reflux disease,506,576,619,700,744,807,755,841,895,966,0.09,0.102,0.11,0.124,0.132,0.143,0.134,0.149,0.159,0.171,1.909
Derm,phecode_685,Disorders of sweat glands,100,131,148,104,144,141,185,149,165,191,0.017,0.022,0.025,0.017,0.024,0.024,0.031,0.025,0.028,0.032,1.91
Hearing,phecode_394-1,Meniere disease,12,13,23,21,18,22,28,23,28,23,0.002,0.002,0.004,0.003,0.003,0.004,0.005,0.004,0.005,0.004,1.917
Hearing,phecode_396-1,Conductive hearing loss,12,13,11,11,13,15,17,19,19,23,0.002,0.002,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.004,1.917
Neuro,phecode_342-4,Monoplegia,12,11,15,21,26,19,29,18,30,23,0.002,0.002,0.002,0.003,0.004,0.003,0.005,0.003,0.005,0.004,1.917
Neoplasms,phecode_106-3,Malignant neoplasm of the ovary,12,11,8,15,19,18,15,23,25,23,0.004,0.003,0.002,0.005,0.006,0.005,0.005,0.007,0.008,0.007,1.917
Genitourinary,phecode_619-4,Noninflammatory disorders of vagina,217,209,263,217,252,252,319,323,372,417,0.073,0.07,0.089,0.073,0.085,0.085,0.107,0.109,0.125,0.14,1.922
Mental,phecode_288-2,Panic disorder [episodic paroxysmal anxiety],43,48,41,51,42,67,55,69,47,83,0.007,0.008,0.007,0.008,0.007,0.011,0.009,0.011,0.008,0.014,1.931
Signs/Symptoms,phecode_829-2,Abnormal level of blood mineral*,45,41,57,56,54,59,57,70,71,87,0.007,0.007,0.009,0.009,0.009,0.01,0.009,0.011,0.012,0.014,1.934
Musc/Skel,phecode_728-3,Costochondritis (Tietze's disease),64,54,73,62,69,55,69,79,91,124,0.011,0.009,0.012,0.01,0.011,0.009,0.011,0.013,0.015,0.02,1.938
Hearing,phecode_398,Other disorders of ear,65,79,69,90,100,92,120,110,126,126,0.011,0.013,0.011,0.015,0.017,0.015,0.02,0.018,0.021,0.021,1.939
Musc/Skel,phecode_723-2,Rotator cuff tear or rupture,150,175,215,216,234,271,246,245,235,291,0.025,0.029,0.036,0.036,0.039,0.046,0.041,0.041,0.039,0.049,1.94
Resp,phecode_465-2,Chronic Pharyngitis,269,302,322,327,328,375,371,414,413,523,0.047,0.052,0.056,0.057,0.057,0.065,0.064,0.072,0.071,0.09,1.945
Signs/Symptoms,phecode_804,Other symptoms and signs involving the circulatory and respiratory system,380,410,476,441,514,537,616,578,647,739,0.068,0.073,0.085,0.079,0.092,0.096,0.11,0.103,0.116,0.132,1.945
Musc/Skel,phecode_708-9,Heberden's or Bouchard's nodes*,20,18,24,25,38,45,44,48,57,39,0.003,0.003,0.004,0.004,0.006,0.007,0.007,0.008,0.009,0.006,1.95
Eye,phecode_367-1,Conjunctivitis,221,277,290,323,336,348,354,407,411,431,0.04,0.05,0.052,0.058,0.06,0.062,0.063,0.073,0.074,0.077,1.951
Mental,phecode_286,Mood [affective] disorders,357,362,426,438,406,443,475,530,594,699,0.069,0.07,0.083,0.085,0.079,0.086,0.092,0.103,0.115,0.136,1.958
Neuro,phecode_334,Disorders of other cranial nerves,52,68,77,71,78,78,93,91,84,102,0.009,0.011,0.013,0.012,0.013,0.013,0.015,0.015,0.014,0.017,1.962
Cardio,phecode_402,Elevated blood pressure reading without diagnosis of hypertension,184,229,296,296,334,373,344,363,331,361,0.032,0.04,0.051,0.051,0.058,0.065,0.06,0.063,0.058,0.063,1.962
Neoplasms,phecode_138-2,Melanocytic nevi*,239,277,282,301,350,373,391,366,416,471,0.042,0.049,0.05,0.053,0.062,0.066,0.069,0.064,0.073,0.083,1.971
Derm,phecode_678,Other skin and connective tissue disorders,691,916,1012,1100,1127,1175,1199,1282,1267,1363,0.131,0.173,0.191,0.208,0.213,0.222,0.227,0.242,0.239,0.258,1.973
GI,phecode_522-1,Inflammatory bowel disease,39,57,44,51,45,47,60,64,58,77,0.006,0.009,0.007,0.008,0.007,0.008,0.01,0.011,0.01,0.013,1.975
Musc/Skel,phecode_716-3,Spinal disc displacement (herniation),111,120,149,157,155,162,141,184,198,220,0.019,0.02,0.025,0.026,0.026,0.027,0.024,0.031,0.033,0.037,1.982
Metab,phecode_256-2,Hyposmolality and/or hyponatremia,160,190,211,204,229,224,237,255,287,318,0.026,0.031,0.035,0.033,0.038,0.037,0.039,0.042,0.047,0.052,1.988
Resp,phecode_465-1,Acute Pharyngitis,315,367,386,376,411,465,453,478,530,628,0.058,0.068,0.071,0.069,0.076,0.086,0.084,0.088,0.098,0.116,1.994
Mental,phecode_308,Signs and symptoms involving emotional state,319,358,363,383,395,398,427,443,546,637,0.057,0.064,0.065,0.068,0.07,0.071,0.076,0.079,0.097,0.113,1.997
Neoplasms,phecode_123,Multiple myeloma and malignant plasma cell neoplasms,15,3,4,6,9,17,14,20,29,30,0.002,0,0.001,0.001,0.001,0.003,0.002,0.003,0.005,0.005,2
Neoplasms,phecode_109,"Malignant neoplasm of the eye, brain and other parts of central nervous system",15,9,8,9,17,23,27,28,22,30,0.002,0.001,0.001,0.001,0.003,0.004,0.004,0.005,0.004,0.005,2
Cardio,phecode_413-4,Pulmonary valve disorders,9,4,1,7,6,18,18,16,22,18,0.001,0.001,0,0.001,0.001,0.003,0.003,0.003,0.004,0.003,2
Signs/Symptoms,phecode_809-1,Acute pain,6,11,10,6,16,9,13,11,16,12,0.001,0.002,0.002,0.001,0.003,0.001,0.002,0.002,0.003,0.002,2
GI,phecode_520-12,Femoral hernia,7,11,9,8,9,13,15,9,16,14,0.001,0.002,0.001,0.001,0.001,0.002,0.002,0.001,0.003,0.002,2
Musc/Skel,phecode_719-7,Muscle weakness (generalized),21,13,18,20,22,24,25,33,32,42,0.003,0.002,0.003,0.003,0.004,0.004,0.004,0.005,0.005,0.007,2
GI,phecode_506-3,Sialoadenitis,15,16,23,20,18,27,27,24,30,30,0.002,0.003,0.004,0.003,0.003,0.004,0.004,0.004,0.005,0.005,2
Derm,phecode_665-2,Psoriatic arthropathy,7,14,18,13,12,9,9,9,16,14,0.001,0.002,0.003,0.002,0.002,0.001,0.001,0.001,0.003,0.002,2
Endo,phecode_200-4,Thyroiditis,9,5,6,12,8,8,19,6,16,18,0.001,0.001,0.001,0.002,0.001,0.001,0.003,0.001,0.003,0.003,2
GI,phecode_532-1,Intestinal fistula,14,19,10,14,17,16,25,24,15,28,0.002,0.003,0.002,0.002,0.003,0.003,0.004,0.004,0.002,0.005,2
Neuro,phecode_330-3,Convulsions,35,30,30,32,54,46,63,59,56,70,0.006,0.005,0.005,0.005,0.009,0.008,0.01,0.01,0.009,0.012,2
Signs/Symptoms,phecode_807-11,Postviral fatigue syndrome*,14,9,11,11,13,10,15,17,26,28,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.004,0.005,2
Eye,phecode_367,Inflammation of the eye,269,335,338,348,384,392,414,495,526,538,0.049,0.061,0.062,0.064,0.07,0.072,0.076,0.09,0.096,0.098,2
Genitourinary,phecode_601-11,Acute prostatitis,8,14,14,15,17,8,12,21,13,16,0.003,0.005,0.005,0.005,0.006,0.003,0.004,0.008,0.005,0.006,2.001
Musc/Skel,phecode_728,Chondropathies,86,76,89,78,84,86,96,107,99,173,0.014,0.013,0.015,0.013,0.014,0.014,0.016,0.018,0.017,0.029,2.012
GI,phecode_515,Heartburn and epigastric pain,162,175,211,232,228,272,239,240,269,326,0.028,0.03,0.036,0.04,0.039,0.047,0.041,0.041,0.046,0.056,2.012
ID,phecode_052-3,Varicella zoster virus,197,275,283,313,345,382,400,376,374,397,0.034,0.047,0.049,0.054,0.06,0.066,0.069,0.065,0.065,0.068,2.015
GI,phecode_556-8,Nonspecific abnormal findings in stool contents,179,205,213,218,241,280,299,311,331,361,0.03,0.034,0.036,0.037,0.041,0.047,0.05,0.052,0.056,0.061,2.017
Mental,phecode_284-1,Suicidal ideations,34,25,41,46,53,63,50,69,86,69,0.006,0.004,0.007,0.008,0.009,0.01,0.008,0.011,0.014,0.011,2.03
Genitourinary,phecode_594-4,Frequency of urination and polyuria,241,266,322,317,393,469,453,487,480,490,0.041,0.046,0.055,0.054,0.067,0.08,0.078,0.083,0.082,0.084,2.034
Derm,phecode_681,"Localized swelling, mass and lump of skin and subcutaneous tissue",405,470,513,534,592,619,638,669,767,824,0.071,0.083,0.09,0.094,0.104,0.109,0.112,0.118,0.135,0.145,2.035
Eye,phecode_377-2,Conjunctival hemorrhage,78,93,106,136,141,150,155,138,165,159,0.013,0.015,0.018,0.023,0.023,0.025,0.026,0.023,0.027,0.026,2.039
Cardio,phecode_417-1,Palpitations,216,240,274,306,322,371,337,398,402,441,0.037,0.041,0.047,0.053,0.055,0.064,0.058,0.068,0.069,0.076,2.042
GI,phecode_550-2,Cholecystitis,47,44,48,66,54,63,55,75,68,96,0.008,0.007,0.008,0.011,0.009,0.01,0.009,0.012,0.011,0.016,2.043
Musc/Skel,phecode_718-2,Cervicalgia,307,375,379,412,437,432,455,498,510,628,0.055,0.067,0.067,0.073,0.078,0.077,0.081,0.089,0.091,0.112,2.046
Genitourinary,phecode_581,Renal tubulo-interstitial diseases,79,104,98,99,111,116,141,129,141,162,0.013,0.017,0.016,0.016,0.018,0.019,0.023,0.021,0.023,0.027,2.051
Endo,phecode_209,Disorders of the pituitary gland and its hypothalamic control,15,10,10,20,17,19,18,20,37,31,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.006,0.005,2.067
Neoplasms,phecode_123-1,Multiple myeloma,15,3,2,9,11,10,14,24,21,31,0.002,0,0,0.001,0.002,0.002,0.002,0.004,0.003,0.005,2.067
Eye,phecode_366,Noninflammatory disorders of conjunctiva,30,30,34,35,40,55,57,52,52,62,0.005,0.005,0.006,0.006,0.007,0.009,0.009,0.009,0.009,0.01,2.067
GI,phecode_520-15,Incisional hernia,28,18,20,19,28,32,38,51,43,58,0.005,0.003,0.003,0.003,0.005,0.005,0.006,0.008,0.007,0.009,2.072
Neuro,phecode_351,Disturbances of skin sensation,326,343,415,431,432,450,489,525,610,676,0.057,0.06,0.072,0.075,0.075,0.078,0.085,0.091,0.106,0.118,2.074
Cardio,phecode_448-1,Raynaud's syndrome,40,43,50,63,75,70,60,81,77,83,0.007,0.007,0.008,0.01,0.012,0.012,0.01,0.013,0.013,0.014,2.075
Musc/Skel,phecode_721-12,Radial styloid tenosynovitis [de Quervain],26,17,36,31,33,44,45,54,54,54,0.004,0.003,0.006,0.005,0.005,0.007,0.007,0.009,0.009,0.009,2.077
GI,phecode_520-14,Ventral hernia,52,37,53,40,51,68,73,83,79,108,0.009,0.006,0.009,0.007,0.008,0.011,0.012,0.014,0.013,0.018,2.077
Genitourinary,phecode_594-6,Urinary urgency,78,106,128,154,160,157,192,173,205,162,0.013,0.017,0.021,0.025,0.026,0.026,0.032,0.028,0.034,0.027,2.077
Signs/Symptoms,phecode_826,Other abnormal immunological findings in serum,26,25,26,25,21,33,20,17,20,54,0.004,0.004,0.004,0.004,0.004,0.006,0.003,0.003,0.003,0.009,2.077
Neuro,phecode_348-2,Myelopathies,25,24,29,39,35,49,63,43,48,52,0.004,0.004,0.005,0.006,0.006,0.008,0.01,0.007,0.008,0.009,2.08
Genitourinary,phecode_596-2,Overactive bladder,74,96,115,110,111,126,144,153,146,154,0.012,0.016,0.019,0.018,0.018,0.021,0.024,0.025,0.024,0.025,2.081
Musc/Skel,phecode_724-52,Osteophyte*,35,36,46,51,47,57,64,64,92,73,0.006,0.006,0.008,0.008,0.008,0.009,0.01,0.01,0.015,0.012,2.086
Resp,phecode_463-21,Seasonal allergic rhinitis,140,156,143,162,182,195,156,176,167,292,0.024,0.027,0.025,0.028,0.031,0.034,0.027,0.03,0.029,0.05,2.086
Musc/Skel,phecode_733,"Dentofacial anomalies, including malocclusion",57,52,65,78,87,110,79,103,107,119,0.009,0.009,0.011,0.013,0.014,0.018,0.013,0.017,0.018,0.02,2.088
Neuro,phecode_336-2,"Lesion of median, ulnar, radial nerve",34,28,41,34,36,45,45,41,41,71,0.006,0.005,0.007,0.006,0.006,0.007,0.007,0.007,0.007,0.012,2.089
Genitourinary,phecode_625,Pain and other symptoms associated with female genital organs,110,92,113,116,133,122,156,173,199,230,0.035,0.03,0.036,0.037,0.043,0.039,0.05,0.056,0.064,0.074,2.092
ID,phecode_059,Coronavirus,81,67,100,100,89,82,127,104,135,170,0.013,0.011,0.016,0.016,0.015,0.013,0.021,0.017,0.022,0.028,2.099
GI,phecode_556,Other symptoms involving the digestive system and abdomen,217,250,281,290,318,331,366,418,357,456,0.037,0.042,0.048,0.049,0.054,0.056,0.062,0.071,0.061,0.077,2.102
Genitourinary,phecode_628,Ovarian cyst,58,69,49,63,60,74,75,60,79,122,0.018,0.022,0.015,0.02,0.019,0.023,0.024,0.019,0.025,0.038,2.104
Neuro,phecode_324-3,Dystonia,57,75,74,82,98,87,94,104,122,120,0.01,0.013,0.012,0.014,0.016,0.015,0.016,0.017,0.02,0.02,2.106
Neuro,phecode_333-4,Circadian rhythm sleep disorder,9,12,6,13,11,15,11,6,15,19,0.001,0.002,0.001,0.002,0.002,0.002,0.002,0.001,0.002,0.003,2.111
GI,phecode_529-2,Abdominal distension and flatulence,150,162,175,246,216,243,246,253,258,317,0.025,0.027,0.029,0.041,0.036,0.041,0.041,0.042,0.043,0.053,2.114
Cardio,phecode_440-1,Venous thromboembolism,137,139,157,187,184,212,259,231,241,291,0.023,0.023,0.027,0.032,0.031,0.036,0.044,0.039,0.041,0.049,2.124
GI,phecode_532-4,Volvulus,8,9,8,7,10,17,21,23,18,17,0.001,0.001,0.001,0.001,0.002,0.003,0.003,0.004,0.003,0.003,2.125
Derm,phecode_666-2,Idiopathic urticaria,8,9,8,7,4,13,10,16,15,17,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.003,0.002,0.003,2.125
Eye,phecode_363-5,Epiphora,32,32,34,55,49,60,67,67,87,68,0.005,0.005,0.006,0.009,0.008,0.01,0.011,0.011,0.014,0.011,2.125
Derm,phecode_664-1,"Lichen planus, nitidus, or striatus",40,45,46,51,44,53,50,42,46,85,0.007,0.007,0.008,0.008,0.007,0.009,0.008,0.007,0.008,0.014,2.125
GI,phecode_550,Disorders of the gallbladder,176,175,226,246,273,277,314,311,324,374,0.03,0.03,0.038,0.042,0.046,0.047,0.053,0.053,0.055,0.063,2.125
Neuro,phecode_336-1,Carpal tunnel syndrome,121,157,177,211,198,228,217,243,229,259,0.021,0.027,0.03,0.036,0.034,0.039,0.037,0.041,0.039,0.044,2.141
GI,phecode_500-41,Impacted teeth*,7,8,8,14,5,16,14,19,17,15,0.001,0.001,0.001,0.002,0.001,0.003,0.002,0.003,0.003,0.002,2.143
GI,phecode_507-11,Recurrent oral aphthae [Recurrent aphthous stomatitis],14,14,13,20,18,19,18,21,31,30,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.003,0.005,0.005,2.143
Resp,phecode_488-6,Wheezing,120,161,138,151,156,171,204,187,232,258,0.02,0.027,0.023,0.025,0.026,0.029,0.034,0.031,0.039,0.043,2.15
Mental,phecode_288-3,Generalized anxiety disorder,78,83,99,109,104,97,119,133,130,168,0.013,0.014,0.017,0.018,0.017,0.016,0.02,0.022,0.022,0.028,2.154
Genitourinary,phecode_585,Kidney stone disease,70,68,74,88,112,122,130,119,150,151,0.012,0.011,0.012,0.015,0.019,0.02,0.022,0.02,0.025,0.025,2.158
ID,phecode_052-32,Herpes zoster,182,261,271,309,364,378,367,382,394,393,0.031,0.044,0.046,0.052,0.062,0.064,0.062,0.065,0.067,0.067,2.16
GI,phecode_522,Gastrointestinal inflammation,446,516,636,630,670,717,722,831,832,965,0.081,0.094,0.116,0.115,0.122,0.131,0.132,0.152,0.152,0.176,2.164
Blood,phecode_171-1,Lymphocytosis (symptomatic),6,8,6,5,15,10,10,16,13,13,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.003,0.002,0.002,2.167
Neoplasms,phecode_135-1,Benign neoplasm of the oral cavity,12,9,7,12,17,16,12,15,19,26,0.002,0.001,0.001,0.002,0.003,0.003,0.002,0.002,0.003,0.004,2.167
Metab,phecode_239-12,Familial hypercholesterolemia*,12,13,9,12,15,23,18,32,26,26,0.002,0.002,0.001,0.002,0.002,0.004,0.003,0.005,0.004,0.004,2.167
Neuro,phecode_331-8,Headache NOS,359,371,403,450,465,486,527,499,542,778,0.065,0.067,0.073,0.082,0.085,0.088,0.096,0.091,0.099,0.141,2.168
Genitourinary,phecode_610,Benign mammary dysplasias,34,31,19,21,34,30,38,40,56,74,0.011,0.01,0.006,0.007,0.011,0.01,0.012,0.013,0.018,0.024,2.177
Eye,phecode_389,Other disorders of eye,298,344,359,422,432,425,479,514,550,649,0.052,0.06,0.063,0.074,0.076,0.075,0.084,0.09,0.097,0.114,2.178
Derm,phecode_685-8,Hyperhidrosis,63,82,101,99,98,115,137,111,115,138,0.01,0.014,0.017,0.016,0.016,0.019,0.023,0.018,0.019,0.023,2.191
Neoplasms,phecode_144-1,Benign neoplasms of external female genital organs and cervix,26,19,22,28,38,39,44,46,54,57,0.008,0.006,0.007,0.009,0.012,0.012,0.014,0.014,0.017,0.018,2.193
Mental,phecode_287,Psychotic disorder,15,16,16,13,13,11,8,21,23,33,0.002,0.003,0.003,0.002,0.002,0.002,0.001,0.003,0.004,0.005,2.2
ID,phecode_052-1,Herpes simplex,59,57,64,77,72,78,78,91,91,130,0.01,0.01,0.011,0.013,0.012,0.013,0.013,0.015,0.015,0.022,2.204
ID,phecode_059-1,COVID-19*,78,69,95,85,96,74,113,120,115,172,0.013,0.011,0.016,0.014,0.016,0.012,0.018,0.02,0.019,0.028,2.205
Musc/Skel,phecode_717-2,Sacrococcygeal disorders,34,36,30,49,51,39,54,56,66,75,0.006,0.006,0.005,0.008,0.008,0.006,0.009,0.009,0.011,0.012,2.206
Derm,phecode_682-4,Acne,29,17,17,19,20,29,32,33,43,64,0.005,0.003,0.003,0.003,0.003,0.005,0.005,0.006,0.007,0.011,2.207
Eye,phecode_360-4,Blepharitis,122,118,159,174,213,195,212,278,250,270,0.02,0.02,0.027,0.029,0.036,0.033,0.035,0.046,0.042,0.045,2.213
GI,phecode_525-1,Celiac disease,14,17,19,27,28,23,20,23,23,31,0.002,0.003,0.003,0.004,0.005,0.004,0.003,0.004,0.004,0.005,2.215
ID,phecode_070,Candidiasis,208,218,263,314,306,351,347,368,383,461,0.037,0.039,0.047,0.056,0.054,0.063,0.062,0.066,0.068,0.082,2.217
Resp,phecode_467,Laryngitis and tracheitis,58,57,98,81,83,96,101,102,111,129,0.01,0.01,0.017,0.014,0.014,0.016,0.017,0.017,0.019,0.022,2.225
Neuro,phecode_331-61,Migraine with aura,22,37,26,23,32,39,38,48,48,49,0.004,0.006,0.004,0.004,0.005,0.006,0.006,0.008,0.008,0.008,2.228
Signs/Symptoms,phecode_821,Abnormality of red blood cells,22,23,14,30,19,22,28,32,36,49,0.004,0.004,0.002,0.005,0.003,0.004,0.005,0.005,0.006,0.008,2.228
Musc/Skel,phecode_708-16,Primary osteoarthritis ankle and foot,44,59,74,72,61,83,93,101,86,98,0.007,0.01,0.012,0.012,0.01,0.014,0.015,0.017,0.014,0.016,2.228
Musc/Skel,phecode_710-41,Flat foot [pes planus],17,26,17,20,25,20,28,26,20,38,0.003,0.004,0.003,0.003,0.004,0.003,0.005,0.004,0.003,0.006,2.236
Cardio,phecode_444-1,Varicose veins,152,154,172,228,252,262,308,294,328,340,0.027,0.027,0.03,0.04,0.044,0.046,0.054,0.051,0.057,0.059,2.237
Derm,phecode_685-82,Generalized hyperhidrosis,63,90,95,89,109,118,128,115,112,141,0.01,0.015,0.016,0.015,0.018,0.02,0.021,0.019,0.019,0.023,2.238
Derm,phecode_679-4,Pruritus,238,254,344,333,375,389,402,441,441,533,0.042,0.044,0.06,0.058,0.066,0.068,0.07,0.077,0.077,0.093,2.24
Derm,phecode_660-11,Candidiasis of skin and nails,29,34,28,70,55,49,48,65,56,65,0.005,0.006,0.005,0.012,0.009,0.008,0.008,0.011,0.009,0.011,2.242
GI,phecode_510-2,Esophagitis,186,196,216,286,283,346,321,346,334,418,0.032,0.034,0.037,0.049,0.049,0.06,0.055,0.06,0.058,0.072,2.248
Resp,phecode_466-4,Hypertrophy of tonsils and adenoids,8,14,4,14,7,8,17,8,23,18,0.001,0.002,0.001,0.002,0.001,0.001,0.003,0.001,0.004,0.003,2.25
Neuro,phecode_348,Other diseases of spinal cord,36,33,31,50,51,66,67,66,59,81,0.006,0.005,0.005,0.008,0.008,0.011,0.011,0.011,0.01,0.013,2.25
Hearing,phecode_391-9,Otorrhea,16,26,23,36,32,31,37,29,42,36,0.003,0.004,0.004,0.006,0.005,0.005,0.006,0.005,0.007,0.006,2.25
Genitourinary,phecode_621,Endometrial hyperplasia,8,9,15,4,12,5,9,13,16,18,0.002,0.003,0.005,0.001,0.004,0.002,0.003,0.004,0.005,0.005,2.251
Resp,phecode_486,Other respiratory disorders,401,491,523,555,600,651,675,727,776,908,0.073,0.089,0.095,0.101,0.109,0.118,0.123,0.132,0.141,0.165,2.265
Genitourinary,phecode_581-11,Acute pyelonephritis,15,18,15,29,22,32,25,28,27,34,0.002,0.003,0.002,0.005,0.004,0.005,0.004,0.005,0.004,0.006,2.267
GI,phecode_529-6,Halitosis*,7,11,15,10,11,12,12,7,10,16,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.002,0.003,2.286
Eye,phecode_386-2,Diplopia,24,29,26,30,37,38,37,49,51,55,0.004,0.005,0.004,0.005,0.006,0.006,0.006,0.008,0.008,0.009,2.292
Cardio,phecode_417,Abnormalities of heart beat,440,489,521,581,663,701,803,817,887,1010,0.077,0.085,0.091,0.101,0.116,0.122,0.14,0.142,0.155,0.176,2.296
GI,phecode_509-11,Glossodynia,10,15,12,20,20,15,19,26,17,23,0.002,0.002,0.002,0.003,0.003,0.002,0.003,0.004,0.003,0.004,2.3
Musc/Skel,phecode_724-3,Nontraumatic hematoma of soft tissue,13,16,19,22,23,20,22,31,34,30,0.002,0.003,0.003,0.004,0.004,0.003,0.004,0.005,0.006,0.005,2.308
Resp,phecode_486-5,Abnormal sputum,160,186,232,197,267,249,288,297,362,370,0.027,0.031,0.039,0.033,0.045,0.042,0.048,0.05,0.061,0.062,2.313
Mental,phecode_283-4,Patient's noncompliance with medical treatment and regimen,166,170,211,212,202,231,260,262,316,384,0.027,0.028,0.035,0.035,0.033,0.038,0.043,0.043,0.052,0.064,2.314
Mental,phecode_288,Anxiety disorders,299,385,402,425,443,499,518,583,599,692,0.055,0.071,0.074,0.078,0.081,0.092,0.095,0.107,0.11,0.127,2.315
Resp,phecode_460-2,Acute lower respiratory infection,580,729,782,862,928,989,1065,1156,1269,1345,0.111,0.14,0.15,0.165,0.178,0.189,0.204,0.221,0.243,0.257,2.319
Resp,phecode_488-8,Mouth breathing*,52,76,64,77,66,73,83,74,95,121,0.009,0.013,0.011,0.013,0.011,0.012,0.014,0.012,0.016,0.02,2.327
GI,phecode_542-2,Fatty liver disease (FLD),115,126,152,172,191,192,170,221,253,268,0.019,0.021,0.025,0.028,0.031,0.032,0.028,0.036,0.042,0.044,2.331
Blood,phecode_168-2,Hyper-coagulability,6,14,10,12,15,16,7,13,16,14,0.001,0.002,0.002,0.002,0.002,0.003,0.001,0.002,0.003,0.002,2.333
GI,phecode_559,"Other disease of digestive system, NOS",12,21,26,33,30,24,32,31,36,28,0.002,0.003,0.004,0.005,0.005,0.004,0.005,0.005,0.006,0.005,2.333
Genitourinary,phecode_614-53,Cyst or abscess of Bartholin's gland,9,10,12,8,12,12,18,15,23,21,0.003,0.003,0.004,0.002,0.004,0.004,0.005,0.005,0.007,0.006,2.334
Genitourinary,phecode_628-2,Corpus luteum cyst or hematoma,51,71,53,68,60,62,75,68,65,119,0.016,0.022,0.016,0.021,0.019,0.019,0.023,0.021,0.02,0.037,2.334
GI,phecode_526,Intestinal infection,236,255,269,308,339,347,376,433,450,552,0.04,0.043,0.046,0.052,0.058,0.059,0.064,0.074,0.076,0.094,2.339
Signs/Symptoms,phecode_805,Fever of unknown origin,109,142,133,162,158,195,203,206,233,255,0.018,0.023,0.022,0.027,0.026,0.032,0.034,0.034,0.039,0.042,2.34
Genitourinary,phecode_622-2,Mucous polyp of cervix,20,15,21,24,27,39,35,47,50,47,0.006,0.005,0.006,0.007,0.008,0.012,0.011,0.015,0.015,0.015,2.351
Musc/Skel,phecode_721-11,Trigger finger,74,96,148,128,140,147,186,167,177,174,0.012,0.016,0.024,0.021,0.023,0.024,0.031,0.028,0.029,0.029,2.352
GI,phecode_550-1,Gallstones [Cholelithiasis],142,154,176,221,237,262,259,267,292,337,0.024,0.026,0.03,0.037,0.04,0.044,0.044,0.045,0.049,0.057,2.374
Neoplasms,phecode_148-2,Benign neoplasm of meninges (Meningioma),8,4,12,5,15,15,12,17,14,19,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.003,0.002,0.003,2.375
Eye,phecode_381-1,Paralytic strabismus [Neurogenic strabismus],8,2,6,15,17,11,12,20,22,19,0.001,0,0.001,0.002,0.003,0.002,0.002,0.003,0.004,0.003,2.375
Metab,phecode_234,Other nutritional deficiencies,80,97,127,99,126,139,143,114,165,190,0.013,0.016,0.021,0.016,0.021,0.023,0.023,0.019,0.027,0.031,2.375
Neuro,phecode_325-3,Lack of coordination,29,25,22,25,30,41,67,57,63,69,0.005,0.004,0.004,0.004,0.005,0.007,0.011,0.009,0.01,0.011,2.38
Blood,phecode_170-19,Neutropenia NOS,21,21,24,17,20,24,28,33,44,50,0.003,0.003,0.004,0.003,0.003,0.004,0.005,0.005,0.007,0.008,2.381
Cardio,phecode_410,Inflammation of the heart [Carditis],34,21,34,53,38,45,69,67,56,81,0.006,0.003,0.006,0.009,0.006,0.007,0.011,0.011,0.009,0.013,2.383
Mental,phecode_280-8,Other psychoactive substance related disorders,13,12,7,10,8,17,9,19,19,31,0.002,0.002,0.001,0.002,0.001,0.003,0.001,0.003,0.003,0.005,2.385
Signs/Symptoms,phecode_807-1,Chronic fatigue syndrome,182,228,240,220,259,249,319,294,351,435,0.031,0.039,0.041,0.038,0.044,0.043,0.055,0.05,0.06,0.074,2.391
