phecode_category,endpoint,phecode_string,ukb_agesex,ukb_agesexretina,ukb_delta
Resp,phecode_460,Acute respiratory infection,"0.527 (0.522, 0.531)","0.54 (0.537, 0.544)","0.013 (0.01, 0.016)"
ID,phecode_089-3,Fungal infections,"0.52 (0.516, 0.525)","0.532 (0.527, 0.538)","0.013 (0.009, 0.016)"
Musc/Skel,phecode_722-1,Plantar fascial fibromatosis [Plantar fasciitis],"0.536 (0.529, 0.544)","0.549 (0.541, 0.556)","0.013 (0.007, 0.018)"
Cardio,phecode_425,Cardiomegaly,"0.679 (0.666, 0.694)","0.692 (0.682, 0.706)","0.013 (0.005, 0.022)"
Resp,phecode_479,Pulmonary insufficiency and acute respiratory distress syndrome,"0.657 (0.646, 0.672)","0.67 (0.657, 0.685)","0.013 (0.005, 0.022)"
Musc/Skel,phecode_718-1,Radiculopathy,"0.573 (0.561, 0.587)","0.586 (0.573, 0.6)","0.013 (0.004, 0.022)"
GI,phecode_558,Abnormal findings on diagnostic imaging of the digestive tract,"0.588 (0.578, 0.601)","0.601 (0.586, 0.611)","0.013 (0.004, 0.02)"
Resp,phecode_491,Pleurisy,"0.623 (0.602, 0.643)","0.637 (0.616, 0.653)","0.013 (0.003, 0.025)"
Musc/Skel,phecode_724-5,Exostosis,"0.559 (0.543, 0.577)","0.574 (0.554, 0.587)","0.013 (0.003, 0.024)"
GI,phecode_520-13,Umbilical hernia,"0.625 (0.614, 0.639)","0.637 (0.625, 0.652)","0.013 (0.003, 0.023)"
Musc/Skel,phecode_711,Disorder of patella,"0.523 (0.51, 0.536)","0.536 (0.525, 0.549)","0.013 (0.002, 0.029)"
Signs/Symptoms,phecode_841-3,Allergy to narcotic agent,"0.657 (0.641, 0.68)","0.672 (0.654, 0.689)","0.013 (0.002, 0.024)"
Neuro,phecode_324-3,Dystonia,"0.548 (0.529, 0.566)","0.561 (0.55, 0.579)","0.013 (0, 0.028)"
Neuro,phecode_344-1,Hydrocephalus,"0.627 (0.587, 0.67)","0.638 (0.604, 0.692)","0.013 (-0.036, 0.054)"
Mental,phecode_308-7,Restlessness and agitation*,"0.569 (0.536, 0.6)","0.583 (0.554, 0.617)","0.013 (-0.019, 0.046)"
Neuro,phecode_348-2,Myelopathies,"0.555 (0.537, 0.58)","0.57 (0.546, 0.594)","0.013 (-0.012, 0.038)"
ID,phecode_015,Clostridium,"0.602 (0.574, 0.632)","0.615 (0.589, 0.649)","0.013 (-0.011, 0.041)"
GI,phecode_554-11,Acute pancreatitis,"0.571 (0.547, 0.601)","0.585 (0.563, 0.607)","0.013 (-0.01, 0.038)"
Neoplasms,phecode_149,Benign neoplasm of the endocrine glands,"0.581 (0.558, 0.611)","0.597 (0.574, 0.619)","0.013 (-0.01, 0.032)"
GI,phecode_554-1,Pancreatitis,"0.584 (0.558, 0.605)","0.595 (0.575, 0.617)","0.013 (-0.008, 0.03)"
Neoplasms,phecode_100,Malignant neoplasm of the head and neck,"0.607 (0.578, 0.638)","0.622 (0.597, 0.651)","0.013 (-0.005, 0.037)"
ID,phecode_084,Parasites,"0.58 (0.563, 0.605)","0.593 (0.568, 0.619)","0.013 (-0.005, 0.029)"
Resp,phecode_488-1,Dyspnea [Shortness of breath],"0.599 (0.594, 0.605)","0.612 (0.606, 0.616)","0.012 (0.009, 0.016)"
Signs/Symptoms,phecode_801,Cough,"0.527 (0.524, 0.531)","0.539 (0.535, 0.543)","0.012 (0.009, 0.015)"
Eye,phecode_389,Other disorders of eye,"0.561 (0.555, 0.569)","0.573 (0.566, 0.579)","0.012 (0.007, 0.016)"
Signs/Symptoms,phecode_807,Malaise and fatigue,"0.547 (0.543, 0.551)","0.559 (0.554, 0.565)","0.012 (0.007, 0.016)"
Neuro,phecode_325,Symptoms and signs related to movement disorders,"0.636 (0.627, 0.643)","0.648 (0.64, 0.656)","0.012 (0.006, 0.019)"
Metab,phecode_256-7,Volume depletion,"0.662 (0.648, 0.675)","0.674 (0.661, 0.684)","0.012 (0.003, 0.021)"
Eye,phecode_360-11,Hordeolum externum,"0.519 (0.51, 0.533)","0.531 (0.519, 0.543)","0.012 (0.002, 0.022)"
Blood,phecode_169-11,Immune thrombocytopenic purpura [ITP],"0.599 (0.561, 0.639)","0.614 (0.567, 0.653)","0.012 (-0.013, 0.042)"
Neuro,phecode_353-1,Hallucinations,"0.615 (0.583, 0.654)","0.626 (0.601, 0.651)","0.012 (-0.012, 0.039)"
Derm,phecode_673,Skin changes due to chronic exposure to nonionizing radiation,"0.598 (0.593, 0.602)","0.609 (0.604, 0.613)","0.011 (0.009, 0.013)"
Musc/Skel,phecode_707,Other arthropathies,"0.641 (0.636, 0.647)","0.652 (0.646, 0.659)","0.011 (0.008, 0.014)"
Metab,phecode_256,"Disorders of fluid, electrolyte and acid-base balance","0.581 (0.575, 0.588)","0.592 (0.585, 0.599)","0.011 (0.007, 0.016)"
Derm,phecode_681,"Localized swelling, mass and lump of skin and subcutaneous tissue","0.556 (0.552, 0.561)","0.567 (0.563, 0.573)","0.011 (0.007, 0.015)"
Musc/Skel,phecode_718-2,Cervicalgia,"0.55 (0.545, 0.556)","0.561 (0.556, 0.566)","0.011 (0.006, 0.017)"
Signs/Symptoms,phecode_812,Edema,"0.61 (0.603, 0.617)","0.621 (0.614, 0.631)","0.011 (0.006, 0.017)"
Musc/Skel,phecode_718-5,Sciatica,"0.546 (0.54, 0.553)","0.557 (0.55, 0.563)","0.011 (0.006, 0.016)"
GI,phecode_526,Intestinal infection,"0.568 (0.561, 0.575)","0.579 (0.572, 0.588)","0.011 (0.005, 0.016)"
Neuro,phecode_350-5,Repeated falls*,"0.717 (0.707, 0.726)","0.727 (0.72, 0.735)","0.011 (0.004, 0.016)"
Eye,phecode_360-1,Hordeolum,"0.519 (0.507, 0.533)","0.531 (0.52, 0.541)","0.011 (0.003, 0.022)"
GI,phecode_524,Functional intestinal disorder,"0.6 (0.589, 0.612)","0.612 (0.599, 0.623)","0.011 (0.003, 0.02)"
Derm,phecode_682-1,Cutaneous cyst,"0.496 (0.489, 0.503)","0.506 (0.499, 0.514)","0.011 (0.002, 0.02)"
Neoplasms,phecode_139,Benign sarcoma-related cancers,"0.5 (0.49, 0.508)","0.511 (0.501, 0.521)","0.011 (0, 0.021)"
GI,phecode_526-2,Viral enteritis,"0.57 (0.537, 0.602)","0.585 (0.552, 0.616)","0.011 (-0.016, 0.04)"
Hearing,phecode_391-7,Perforation of tympanic membrane,"0.532 (0.506, 0.555)","0.542 (0.517, 0.564)","0.011 (-0.015, 0.03)"
Resp,phecode_495-1,Solitary pulmonary nodule,"0.632 (0.594, 0.657)","0.642 (0.609, 0.674)","0.011 (-0.011, 0.041)"
ID,phecode_095,Sequela of infection,"0.546 (0.522, 0.574)","0.558 (0.534, 0.592)","0.011 (-0.011, 0.032)"
Resp,phecode_484,Pneumothorax and air leak,"0.611 (0.583, 0.641)","0.624 (0.591, 0.652)","0.011 (-0.01, 0.04)"
ID,phecode_004,Streptococcus,"0.578 (0.557, 0.599)","0.59 (0.565, 0.609)","0.011 (-0.006, 0.03)"
GI,phecode_554,Diseases of the pancreas,"0.598 (0.578, 0.616)","0.606 (0.588, 0.626)","0.011 (-0.006, 0.024)"
Neoplasms,phecode_139-6,Hemangioma and lymphangioma,"0.501 (0.485, 0.517)","0.513 (0.498, 0.534)","0.011 (-0.004, 0.034)"
Musc/Skel,phecode_709-22,Hallux rigidus,"0.573 (0.552, 0.592)","0.585 (0.561, 0.605)","0.011 (-0.003, 0.027)"
Neoplasms,phecode_103-1,Melanomas of skin,"0.603 (0.588, 0.621)","0.615 (0.598, 0.633)","0.011 (-0.002, 0.021)"
Genitourinary,phecode_584,Renal failure,"0.683 (0.663, 0.699)","0.692 (0.676, 0.712)","0.011 (-0.001, 0.024)"
Neoplasms,phecode_103,Malignant neoplasm of the skin,"0.655 (0.648, 0.664)","0.666 (0.658, 0.674)","0.01 (0.008, 0.013)"
Derm,phecode_673-1,Actinic keratosis,"0.599 (0.595, 0.603)","0.609 (0.605, 0.614)","0.01 (0.008, 0.012)"
Derm,phecode_660,Infection of the skin,"0.524 (0.52, 0.528)","0.534 (0.53, 0.539)","0.01 (0.007, 0.013)"
Death,OMOP_4306655,All-Cause Death,"0.707 (0.702, 0.714)","0.718 (0.712, 0.723)","0.01 (0.006, 0.014)"
Cardio,phecode_424,Heart failure,"0.737 (0.731, 0.748)","0.747 (0.739, 0.756)","0.01 (0.005, 0.016)"
Cardio,phecode_424-1,Left heart failure,"0.73 (0.716, 0.743)","0.739 (0.726, 0.752)","0.01 (0.004, 0.015)"
Resp,phecode_463,Rhinitis and nasal congestion,"0.522 (0.517, 0.529)","0.532 (0.525, 0.538)","0.01 (0.004, 0.015)"
Metab,phecode_234,Other nutritional deficiencies,"0.58 (0.57, 0.593)","0.59 (0.58, 0.604)","0.01 (0.002, 0.02)"
Blood,phecode_181,Autoimmune disease,"0.547 (0.536, 0.556)","0.557 (0.548, 0.568)","0.01 (0.001, 0.022)"
Neuro,phecode_336-5,Mononeuritis of lower limb,"0.563 (0.549, 0.578)","0.574 (0.56, 0.589)","0.01 (0.001, 0.02)"
GI,phecode_509-3,Hypertrophy of tongue papillae,"0.533 (0.497, 0.576)","0.543 (0.507, 0.576)","0.01 (-0.024, 0.039)"
Eye,phecode_366-4,Vascular abnormalities of conjunctiva,"0.524 (0.495, 0.56)","0.533 (0.51, 0.567)","0.01 (-0.02, 0.042)"
Blood,phecode_162,Aplastic anemia,"0.657 (0.631, 0.689)","0.667 (0.636, 0.699)","0.01 (-0.018, 0.033)"
GI,phecode_526-12,Intestinal infection due to C. difficile,"0.646 (0.619, 0.681)","0.657 (0.628, 0.692)","0.01 (-0.017, 0.038)"
Cardio,phecode_452,"Hemorrhage, NOS","0.575 (0.546, 0.6)","0.586 (0.554, 0.611)","0.01 (-0.014, 0.034)"
Signs/Symptoms,phecode_840-1,Food allergy,"0.547 (0.523, 0.573)","0.556 (0.531, 0.584)","0.01 (-0.008, 0.028)"
GI,phecode_513-1,Esophageal ulcer,"0.599 (0.577, 0.618)","0.609 (0.593, 0.632)","0.01 (-0.005, 0.026)"
Derm,phecode_682-11,Sebaceous cyst [Epidermal cyst],"0.486 (0.479, 0.496)","0.497 (0.489, 0.506)","0.01 (-0.003, 0.021)"
Genitourinary,phecode_585-1,Renal colic,"0.608 (0.589, 0.629)","0.62 (0.598, 0.641)","0.01 (-0.002, 0.026)"
Neoplasms,phecode_103-21,Basal cell carcinoma,"0.643 (0.634, 0.652)","0.652 (0.643, 0.661)","0.009 (0.006, 0.013)"
Neoplasms,phecode_103-2,Keratinocyte carcinoma,"0.652 (0.646, 0.659)","0.66 (0.654, 0.668)","0.009 (0.006, 0.011)"
Genitourinary,phecode_605,Male sexual dysfuction,"0.558 (0.552, 0.564)","0.567 (0.56, 0.575)","0.009 (0.005, 0.013)"
Resp,phecode_460-1,Acute upper respiratory infection,"0.534 (0.529, 0.54)","0.543 (0.539, 0.548)","0.009 (0.005, 0.013)"
Signs/Symptoms,phecode_809-3,Pain in limb,"0.524 (0.52, 0.529)","0.533 (0.529, 0.537)","0.009 (0.005, 0.013)"
Signs/Symptoms,phecode_809,Pain,"0.528 (0.525, 0.531)","0.537 (0.533, 0.541)","0.009 (0.005, 0.013)"
Genitourinary,phecode_605-1,Male erectile dysfunction,"0.558 (0.551, 0.564)","0.567 (0.559, 0.573)","0.009 (0.004, 0.014)"
GI,phecode_522-9,Gastritis,"0.565 (0.558, 0.571)","0.574 (0.568, 0.58)","0.009 (0.004, 0.014)"
Neuro,phecode_331-8,Headache NOS,"0.57 (0.564, 0.574)","0.578 (0.573, 0.584)","0.009 (0.004, 0.014)"
Signs/Symptoms,phecode_823-2,Abnormal levels of other serum enzymes,"0.56 (0.552, 0.568)","0.569 (0.56, 0.578)","0.009 (0.004, 0.013)"
Cardio,phecode_433,Other cerebrovascular disease,"0.716 (0.705, 0.726)","0.725 (0.717, 0.734)","0.009 (0.003, 0.016)"
Signs/Symptoms,phecode_823,Abnormal serum enzyme levels,"0.56 (0.55, 0.569)","0.569 (0.56, 0.578)","0.009 (0.003, 0.014)"
Musc/Skel,phecode_716-3,Spinal disc displacement (herniation),"0.542 (0.531, 0.556)","0.552 (0.541, 0.563)","0.009 (0.002, 0.019)"
Musc/Skel,phecode_724-1,Myalgia,"0.555 (0.547, 0.564)","0.563 (0.553, 0.571)","0.009 (0.001, 0.015)"
ID,phecode_015-2,Clostridium difficile,"0.646 (0.622, 0.673)","0.656 (0.629, 0.684)","0.009 (-0.017, 0.033)"
GI,phecode_557-1,Hematemesis,"0.596 (0.578, 0.619)","0.605 (0.578, 0.627)","0.009 (-0.017, 0.031)"
Eye,phecode_361-1,Entropion and trichiasis of eyelid,"0.682 (0.651, 0.712)","0.691 (0.662, 0.72)","0.009 (-0.013, 0.024)"
Resp,phecode_468-8,Bronchopneumonia,"0.686 (0.653, 0.731)","0.695 (0.663, 0.739)","0.009 (-0.012, 0.029)"
Cardio,phecode_437,Vascular insufficiency of intestine,"0.665 (0.634, 0.687)","0.673 (0.645, 0.707)","0.009 (-0.008, 0.03)"
Blood,phecode_168,"Coagulation defects, purpura and other hemorrhagic conditions","0.595 (0.579, 0.612)","0.604 (0.589, 0.618)","0.009 (-0.004, 0.018)"
Eye,phecode_360-2,Chalazion,"0.52 (0.503, 0.535)","0.531 (0.514, 0.541)","0.009 (-0.002, 0.018)"
Musc/Skel,phecode_705-1,Rheumatoid arthritis,"0.591 (0.576, 0.609)","0.601 (0.583, 0.617)","0.009 (-0.001, 0.023)"
Metab,phecode_239-11,Pure hypercholesterolemia,"0.614 (0.611, 0.618)","0.623 (0.619, 0.627)","0.008 (0.006, 0.011)"
Metab,phecode_239-1,Hypercholesterolemia,"0.613 (0.609, 0.617)","0.621 (0.616, 0.626)","0.008 (0.006, 0.01)"
Derm,phecode_660-1,Fungal infection of the skin,"0.541 (0.535, 0.548)","0.55 (0.544, 0.556)","0.008 (0.005, 0.012)"
Signs/Symptoms,phecode_830,Proteinuria,"0.584 (0.579, 0.59)","0.591 (0.587, 0.597)","0.008 (0.005, 0.012)"
Metab,phecode_239,Hyperlipidemia,"0.606 (0.602, 0.612)","0.615 (0.61, 0.62)","0.008 (0.005, 0.011)"
ID,phecode_070,Candidiasis,"0.586 (0.579, 0.594)","0.594 (0.586, 0.603)","0.008 (0.003, 0.013)"
GI,phecode_522,Gastrointestinal inflammation,"0.555 (0.549, 0.56)","0.563 (0.558, 0.568)","0.008 (0.003, 0.012)"
Musc/Skel,phecode_715-4,Spinal stenosis,"0.645 (0.633, 0.657)","0.653 (0.641, 0.666)","0.008 (0.001, 0.015)"
Resp,phecode_473,Other diseases of upper respiratory tract,"0.537 (0.525, 0.551)","0.545 (0.532, 0.558)","0.008 (0, 0.014)"
Resp,phecode_469-1,Acute bronchitis,"0.564 (0.542, 0.584)","0.571 (0.545, 0.594)","0.008 (-0.016, 0.031)"
Eye,phecode_375-12,Angle-Closure Glaucoma,"0.675 (0.65, 0.698)","0.683 (0.659, 0.712)","0.008 (-0.008, 0.027)"
Musc/Skel,phecode_713-4,Stiffness of joint,"0.529 (0.512, 0.545)","0.537 (0.511, 0.557)","0.008 (-0.008, 0.024)"
Cardio,phecode_440-2,Arterial embolism and thrombosis,"0.689 (0.668, 0.709)","0.697 (0.679, 0.715)","0.008 (-0.008, 0.02)"
Musc/Skel,phecode_726-2,Pathologic fracture,"0.724 (0.706, 0.745)","0.732 (0.714, 0.751)","0.008 (-0.005, 0.021)"
Cardio,phecode_424-2,Systolic heart failure,"0.721 (0.696, 0.743)","0.73 (0.702, 0.751)","0.008 (-0.003, 0.019)"
GI,phecode_526-1,Bacterial enteritis,"0.528 (0.518, 0.543)","0.538 (0.525, 0.55)","0.008 (-0.002, 0.022)"
Signs/Symptoms,phecode_800-1,Chest pain on breathing,"0.54 (0.53, 0.557)","0.55 (0.54, 0.563)","0.008 (-0.002, 0.02)"
GI,phecode_513,Peptic ulcer,"0.594 (0.585, 0.603)","0.601 (0.595, 0.613)","0.008 (-0.002, 0.018)"
Cardio,phecode_443,Other specified disorders of arteries and arterioles,"0.687 (0.677, 0.702)","0.696 (0.682, 0.708)","0.008 (-0.001, 0.017)"
Musc/Skel,phecode_713-3,Pain in joint,"0.526 (0.523, 0.53)","0.533 (0.529, 0.536)","0.007 (0.004, 0.009)"
Musc/Skel,phecode_713,Symptoms related to joints,"0.526 (0.523, 0.53)","0.533 (0.53, 0.536)","0.007 (0.004, 0.009)"
Cardio,phecode_403,Angina pectoris,"0.672 (0.665, 0.682)","0.679 (0.671, 0.686)","0.007 (0.003, 0.011)"
ID,phecode_089,Infections,"0.521 (0.517, 0.525)","0.528 (0.524, 0.531)","0.007 (0.003, 0.01)"
Musc/Skel,phecode_703-1,Hyperuricemia,"0.701 (0.693, 0.708)","0.707 (0.7, 0.715)","0.007 (0.003, 0.01)"
Resp,phecode_483,Pleural effusion,"0.682 (0.672, 0.691)","0.688 (0.679, 0.696)","0.007 (0.002, 0.014)"
ID,phecode_092-2,Sepsis,"0.663 (0.652, 0.672)","0.671 (0.66, 0.682)","0.007 (0.001, 0.013)"
Cardio,phecode_404-1,Myocardial infarction [Heart attack],"0.707 (0.699, 0.715)","0.715 (0.707, 0.723)","0.007 (0.001, 0.012)"
Musc/Skel,phecode_721-1,Synovitis and tenosynovitis,"0.539 (0.534, 0.547)","0.546 (0.54, 0.553)","0.007 (0.001, 0.012)"
Cardio,phecode_431-11,Cerebral infarction [Ischemic stroke],"0.704 (0.692, 0.715)","0.711 (0.7, 0.721)","0.007 (0, 0.014)"
Signs/Symptoms,phecode_802,Throat pain,"0.549 (0.537, 0.559)","0.555 (0.544, 0.567)","0.007 (0, 0.013)"
Cardio,phecode_439,Hemorrhoids,"0.504 (0.499, 0.509)","0.511 (0.506, 0.517)","0.007 (0, 0.012)"
Cardio,phecode_424-3,Diastolic heart failure,"0.697 (0.667, 0.722)","0.703 (0.677, 0.73)","0.007 (-0.017, 0.026)"
GI,phecode_554-2,Cyst and pseudocyst of pancreas,"0.626 (0.591, 0.658)","0.634 (0.6, 0.663)","0.007 (-0.016, 0.033)"
Signs/Symptoms,phecode_807-11,Postviral fatigue syndrome*,"0.605 (0.574, 0.644)","0.611 (0.576, 0.646)","0.007 (-0.015, 0.023)"
Cardio,phecode_411,Other diseases of pericardium,"0.642 (0.619, 0.662)","0.65 (0.626, 0.67)","0.007 (-0.013, 0.026)"
Metab,phecode_230-3,Anorexia,"0.604 (0.588, 0.623)","0.611 (0.593, 0.629)","0.007 (-0.006, 0.019)"
Metab,phecode_247-5,Disorders of calcium metabolism,"0.609 (0.595, 0.621)","0.615 (0.6, 0.632)","0.007 (-0.005, 0.019)"
Hearing,phecode_397,Other hearing abnormality,"0.502 (0.494, 0.511)","0.509 (0.5, 0.517)","0.007 (-0.005, 0.017)"
Signs/Symptoms,phecode_827,Toxicology findings,"0.622 (0.604, 0.647)","0.629 (0.613, 0.65)","0.007 (-0.003, 0.015)"
Cardio,phecode_426,Other heart disorders in diseases NEC,"0.709 (0.697, 0.72)","0.715 (0.705, 0.729)","0.007 (-0.002, 0.015)"
Cardio,phecode_431-1,Stroke,"0.695 (0.683, 0.706)","0.702 (0.692, 0.712)","0.007 (-0.001, 0.017)"
ID,phecode_092,"Bacteremia, Sepsis, and SIRS","0.666 (0.655, 0.676)","0.673 (0.663, 0.683)","0.007 (-0.001, 0.014)"
Mental,phecode_286-2,Major depressive disorder,"0.569 (0.562, 0.574)","0.574 (0.569, 0.581)","0.006 (0.002, 0.011)"
Musc/Skel,phecode_722-4,Palmar fascial fibromatosis [Dupuytren],"0.645 (0.634, 0.658)","0.651 (0.641, 0.663)","0.006 (0.002, 0.011)"
Derm,phecode_668,Dermatitis [eczema],"0.537 (0.531, 0.542)","0.543 (0.538, 0.55)","0.006 (0.002, 0.01)"
Musc/Skel,phecode_703-11,Gout,"0.706 (0.698, 0.716)","0.712 (0.702, 0.722)","0.006 (0.002, 0.01)"
GI,phecode_550,Disorders of the gallbladder,"0.572 (0.566, 0.582)","0.579 (0.572, 0.587)","0.006 (0.001, 0.012)"
Signs/Symptoms,phecode_841-11,Penicillin allergy,"0.584 (0.577, 0.593)","0.59 (0.581, 0.597)","0.006 (0.001, 0.01)"
Musc/Skel,phecode_732,Nonspecific abnormal findings on radiological and other examination of musculoskeletal system,"0.632 (0.62, 0.641)","0.638 (0.626, 0.647)","0.006 (0.001, 0.009)"
Signs/Symptoms,phecode_840-2,Allergy to insects,"0.572 (0.56, 0.583)","0.579 (0.568, 0.59)","0.006 (0, 0.014)"
Hearing,phecode_391,Disorders of the middle ear,"0.522 (0.516, 0.53)","0.528 (0.522, 0.535)","0.006 (0, 0.012)"
Neuro,phecode_330-11,Generalized epilepsy,"0.536 (0.501, 0.578)","0.54 (0.498, 0.59)","0.006 (-0.042, 0.055)"
Eye,phecode_383,Irregular eye movements,"0.541 (0.497, 0.591)","0.546 (0.501, 0.589)","0.006 (-0.031, 0.041)"
Neoplasms,phecode_116-5,Secondary malignancy of brain/spine,"0.625 (0.599, 0.651)","0.628 (0.608, 0.66)","0.006 (-0.022, 0.028)"
GI,phecode_522-7,Ulceration of the lower GI tract,"0.541 (0.516, 0.57)","0.548 (0.52, 0.581)","0.006 (-0.019, 0.038)"
Blood,phecode_174,Diseases of spleen,"0.586 (0.558, 0.62)","0.594 (0.567, 0.617)","0.006 (-0.018, 0.031)"
Cardio,phecode_413-32,Tricuspid value insufficiency*,"0.724 (0.695, 0.752)","0.73 (0.705, 0.758)","0.006 (-0.014, 0.029)"
Cardio,phecode_431-12,Hemorrhagic stroke,"0.65 (0.626, 0.676)","0.658 (0.635, 0.675)","0.006 (-0.012, 0.026)"
Mental,phecode_288-2,Panic disorder [episodic paroxysmal anxiety],"0.567 (0.55, 0.586)","0.575 (0.557, 0.591)","0.006 (-0.009, 0.024)"
Cardio,phecode_420,Cardiac arrest,"0.728 (0.709, 0.748)","0.733 (0.713, 0.756)","0.006 (-0.009, 0.022)"
Genitourinary,phecode_603-2,Spermatocele,"0.531 (0.505, 0.552)","0.538 (0.519, 0.562)","0.006 (-0.008, 0.027)"
Musc/Skel,phecode_724-52,Osteophyte*,"0.582 (0.565, 0.601)","0.588 (0.567, 0.607)","0.006 (-0.008, 0.015)"
Derm,phecode_668-1,Atopic dermatitis,"0.519 (0.505, 0.528)","0.524 (0.511, 0.535)","0.006 (-0.007, 0.018)"
GI,phecode_508,Diseases of lips,"0.584 (0.569, 0.6)","0.591 (0.575, 0.606)","0.006 (-0.006, 0.019)"
Signs/Symptoms,phecode_800-11,Pleurodynia*,"0.546 (0.535, 0.559)","0.552 (0.54, 0.564)","0.006 (-0.006, 0.017)"
Derm,phecode_668-3,Contact dermatitis,"0.539 (0.525, 0.549)","0.545 (0.529, 0.557)","0.006 (-0.003, 0.013)"
GI,phecode_532,Other disorders of the intestines,"0.553 (0.54, 0.566)","0.559 (0.543, 0.574)","0.006 (-0.002, 0.017)"
Resp,phecode_471,Other disorders of nose and nasal sinuses,"0.507 (0.499, 0.513)","0.513 (0.507, 0.519)","0.006 (-0.002, 0.016)"
GI,phecode_557-8,Hemorrhage of rectum and anus,"0.51 (0.502, 0.521)","0.516 (0.507, 0.525)","0.006 (-0.002, 0.015)"
Signs/Symptoms,phecode_827-1,Finding of alcohol in blood,"0.627 (0.609, 0.652)","0.635 (0.616, 0.657)","0.006 (-0.002, 0.015)"
Neoplasms,phecode_116-6,Secondary malignancy of bone,"0.687 (0.677, 0.699)","0.694 (0.682, 0.706)","0.006 (-0.001, 0.016)"
GI,phecode_550-1,Gallstones [Cholelithiasis],"0.579 (0.57, 0.587)","0.583 (0.577, 0.593)","0.006 (-0.001, 0.012)"
Derm,phecode_678,Other skin and connective tissue disorders,"0.553 (0.549, 0.557)","0.558 (0.554, 0.563)","0.005 (0.003, 0.007)"
Mental,phecode_286,Mood [affective] disorders,"0.569 (0.562, 0.576)","0.574 (0.569, 0.582)","0.005 (0.002, 0.01)"
Derm,phecode_660-12,Dermatophytosis,"0.55 (0.543, 0.558)","0.556 (0.549, 0.564)","0.005 (0.002, 0.009)"
GI,phecode_529-5,Constipation,"0.609 (0.604, 0.616)","0.614 (0.609, 0.621)","0.005 (0.002, 0.009)"
Neoplasms,phecode_136-4,"Benign neoplasm of colon, rectum, anus and anal canal","0.59 (0.585, 0.597)","0.596 (0.59, 0.602)","0.005 (0.002, 0.009)"
GI,phecode_527,Abdominal pain,"0.548 (0.544, 0.553)","0.553 (0.549, 0.558)","0.005 (0.002, 0.008)"
Signs/Symptoms,phecode_841,Drug and medical agent allergy,"0.604 (0.6, 0.608)","0.609 (0.604, 0.614)","0.005 (0.002, 0.008)"
Neuro,phecode_350,Other symptoms involving nervous system,"0.61 (0.602, 0.617)","0.615 (0.608, 0.622)","0.005 (0.001, 0.01)"
Cardio,phecode_436,Atherosclerosis [ASCVD],"0.704 (0.697, 0.711)","0.709 (0.701, 0.715)","0.005 (0.001, 0.009)"
Eye,phecode_367,Inflammation of the eye,"0.564 (0.558, 0.572)","0.569 (0.564, 0.576)","0.005 (0.001, 0.009)"
Neoplasms,phecode_103-3,Carcinoma in situ of skin,"0.718 (0.701, 0.729)","0.724 (0.706, 0.734)","0.005 (0.001, 0.009)"
GI,phecode_529-2,Abdominal distension and flatulence,"0.569 (0.561, 0.575)","0.573 (0.566, 0.582)","0.005 (0, 0.011)"
Metab,phecode_230,Malnutrition and underweight,"0.602 (0.593, 0.61)","0.607 (0.598, 0.614)","0.005 (0, 0.011)"
Cardio,phecode_404-2,Coronary atherosclerosis [Atherosclerotic heart disease],"0.703 (0.696, 0.71)","0.707 (0.701, 0.714)","0.005 (0, 0.008)"
Resp,phecode_465,Pharyngitis,"0.561 (0.554, 0.566)","0.566 (0.558, 0.571)","0.005 (0, 0.008)"
Neoplasms,phecode_144-3,Benign neoplasms of the ovary,"0.492 (0.456, 0.524)","0.498 (0.464, 0.539)","0.005 (-0.031, 0.057)"
Resp,phecode_472,"Diseases of vocal cords and larynx, not elsewhere classified","0.57 (0.543, 0.594)","0.573 (0.551, 0.608)","0.005 (-0.025, 0.03)"
Derm,phecode_688-3,Pyogenic granuloma of skin and subcutaneous tissue,"0.51 (0.48, 0.543)","0.519 (0.486, 0.546)","0.005 (-0.021, 0.041)"
Genitourinary,phecode_613-7,Other signs and symptoms in breast,"0.458 (0.434, 0.477)","0.463 (0.447, 0.482)","0.005 (-0.013, 0.03)"
Resp,phecode_477,Inhalation lung injury,"0.719 (0.677, 0.749)","0.723 (0.683, 0.769)","0.005 (-0.012, 0.03)"
Neuro,phecode_330,"Epilepsy, recurrent seizures, convulsions","0.578 (0.561, 0.597)","0.583 (0.563, 0.602)","0.005 (-0.012, 0.019)"
Signs/Symptoms,phecode_815,Symptoms and signs concerning food and fluid intake,"0.538 (0.522, 0.56)","0.542 (0.524, 0.566)","0.005 (-0.011, 0.021)"
Cardio,phecode_414,Cardiomyopathy,"0.658 (0.635, 0.679)","0.665 (0.644, 0.684)","0.005 (-0.005, 0.019)"
Musc/Skel,phecode_718-3,Mid back pain,"0.574 (0.558, 0.591)","0.58 (0.567, 0.593)","0.005 (-0.005, 0.016)"
Blood,phecode_170,Decreased white blood cell count,"0.586 (0.574, 0.597)","0.591 (0.579, 0.605)","0.005 (-0.004, 0.019)"
Musc/Skel,phecode_723-2,Rotator cuff tear or rupture,"0.536 (0.528, 0.547)","0.541 (0.533, 0.551)","0.005 (-0.004, 0.013)"
Neoplasms,phecode_103-22,Squamous cell carcinoma of the skin,"0.716 (0.695, 0.743)","0.721 (0.699, 0.744)","0.005 (-0.004, 0.011)"
